Player,Offensive Role,Defensive Role,O%,D%
Jalen Brunson,Shot Creator,Low Activity,97,49
Julius Randle,Shot Creator,Wing Stopper,67,23
OG Anunoby,Stationary Shooter,Wing Stopper,34,72
Donte DiVincenzo,Movement Shooter,Chaser,95,85
Josh Hart,Stationary Shooter,Helper,72,95
Mitchell Robinson,Athletic Finisher,Mobile Big,42,80
Isaiah Hartenstein,Roll + Cut Big,Mobile Big,73,94
Miles McBride,Primary Ball Handler,Point of Attack,31,46
