Player,Offensive Role,Defensive Role,O%,D%
Jayson Tatum,Shot Creator,Helper,92,63
Derrick White,Primary Ball Handler,Point of Attack,72,94
Kristaps Porzingis,Versatile Big,Anchor Big,95,61
Al Horford,Stationary Shooter,Helper,57,89
Jrue Holiday,Shot Creator,Point of Attack,41,79
Jaylen Brown,Shot Creator,Wing Stopper,66,39
Sam Hauser,Movement Shooter,Helper,94,45
Payton Pritchard,Primary Ball Handler,Point of Attack,81,35
