Player,Offensive Role,Defensive Role,O%,D%
Ja Morant,Slasher,Chaser,95,30
Desmond Bane,Off Screen Shooter,Wing Stopper,100,17
Jaren Jackson Jr.,Movement Shooter,Mobile Big,96,77
Dillon Brooks,Shot Creator,Wing Stopper,52,65
Steven Adams,Post Scorer,Anchor Big,77,42
Tyus Jones,Primary Ball Handler,Point of Attack,68,35
Brandon Clarke,Roll + Cut Big,Helper,100,59
De'Anthony Melton,Movement Shooter,Chaser,79,96
