Player,Offensive Role,Defensive Role,O%,D%
Rudy Gobert,Roll + Cut Big,Anchor Big,81,100
Mike Conley,Primary Ball Handler,Chaser,65,89
Anthony Edwards,Shot Creator,Wing Stopper,76,51
Karl-Anthony Towns,Versatile Big,Mobile Big,81,22
Naz Reid,Stationary Shooter,Helper,59,67
Kyle Anderson,Shot Creator,Helper,8,99
Nickeil Alexander-Walker,Primary Ball Handler,Point of Attack,5,69
Jaden McDaniels,Stationary Shooter,Point of Attack,14,59
