Player,Offensive Role,Defensive Role,O%,D%
Tyrese Haliburton,Primary Ball Handler,Low Activity,98,97
Pascal Siakam,Shot Creator,Helper,73,38
Andrew Nembhard,Primary Ball Handler,Point of Attack,20,57
Myles Turner,Stretch Big,Mobile Big,85,76
Aaron Nesmith,Movement Shooter,Wing Stopper,74,30
Obi Toppin,Stationary Shooter,Helper,95,32
T.J. McConnell,Slasher,Point of Attack,50,58
Bennedict Mathurin,Secondary Ball Handler,Chaser,57,38
