Player,Offensive Role,Defensive Role,O%,D%
Nikola Jokic,Post Scorer,Mobile Big,100,79
Jamal Murray,Shot Creator,Point of Attack,75,20
Michael Porter Jr.,Off Screen Shooter,Low Activity,98,32
Aaron Gordon,Shot Creator,Wing Stopper,73,63
Kentavious Caldwell-Pope,Movement Shooter,Wing Stopper,85,94
Bruce Brown,Primary Ball Handler,Chaser,26,75
Christian Braun,Stationary Shooter,Chaser,7,82
Jeff Green,Versatile Big,Helper,29,9
