Player,Offensive Role,Defensive Role,O%,D%
Chris Paul,Primary Ball Handler,Low Activity,87,100
Devin Booker,Shot Creator,Chaser,91,73
Mikal Bridges,Stationary Shooter,Point of Attack,82,93
Deandre Ayton,Post Scorer,Anchor Big,52,28
Jae Crowder,Movement Shooter,Wing Stopper,46,98
Cam Johnson,Stationary Shooter,Helper,91,69
Cameron Payne,Primary Ball Handler,Low Activity,37,93
JaVale McGee,Roll + Cut Big,Anchor Big,59,74
