Rank,Prospect,Pos,Comp_Rank,Comp_Name,Comp_Pos,Comp_Off,Comp_Def,Similarity
71,Dillon Mitchell,SF,4,Jonathan Mogbo,PF,Athletic Finisher,Mobile Big,77.9
71,Dillon Mitchell,SF,5,Adou Thiero,SF,Athletic Finisher,Helper,77.6
72,Andrej Stojakovic,SG,1,Cedric Coward,SG,Movement Shooter,Wing Stopper,77.9
72,Andrej Stojakovic,SG,2,Christian Braun,SG,Stationary Shooter,Point of Attack,75.5
72,Andrej Stojakovic,SG,3,Cody Williams,SG,Stationary Shooter,Point of Attack,75.0
72,Andrej Stojakovic,SG,4,Cam Christie,SG,Movement Shooter,Point of Attack,74.5
72,Andrej Stojakovic,SG,5,Amir Coffey,SG,Stationary Shooter,Helper,73.3
73,Tahaad Pettiford,PG,1,Jamaree Bouyea,PG,Secondary Ball Handler,Chaser,86.2
73,Tahaad Pettiford,PG,2,Ayo Dosunmu,SG,Primary Ball Handler,Point of Attack,86.2
73,Tahaad Pettiford,PG,3,Nickeil Alexander-Walker,SG,Primary Ball Handler,Point of Attack,85.4
73,Tahaad Pettiford,PG,4,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,85.0
73,Tahaad Pettiford,PG,5,Tyrese Maxey,PG,Shot Creator,Chaser,84.5
74,Kylan Boswell,PG,1,Quenton Jackson,PG,Secondary Ball Handler,Point of Attack,85.0
74,Kylan Boswell,PG,2,Norman Powell,SG,Shot Creator,Chaser,84.4
74,Kylan Boswell,PG,3,Bradley Beal,SG,Secondary Ball Handler,Chaser,84.3
74,Kylan Boswell,PG,4,Pelle Larsson,SG,Shot Creator,Chaser,83.6
74,Kylan Boswell,PG,5,Cam Christie,SG,Movement Shooter,Point of Attack,83.6
75,Coen Carr,SF/PF,1,P.J. Washington,PF,Shot Creator,Wing Stopper,81.8
75,Coen Carr,SF/PF,2,Zeke Nnaji,PF,Stretch Big,Helper,81.5
75,Coen Carr,SF/PF,3,Chet Holmgren,PF,Shot Creator,Mobile Big,80.7
75,Coen Carr,SF/PF,4,Dominick Barlow,PF,Athletic Finisher,Helper,80.3
75,Coen Carr,SF/PF,5,Jonathan Kuminga,PF,Shot Creator,Wing Stopper,78.1
76,Tucker DeVries,SG/SF,1,Jaden Ivey,SG,Movement Shooter,Chaser,93.9
76,Tucker DeVries,SG/SF,2,Jaylon Tyson,SG,Movement Shooter,Chaser,93.4
76,Tucker DeVries,SG/SF,3,Aaron Wiggins,SG,Movement Shooter,Helper,93.0
76,Tucker DeVries,SG/SF,4,Tre Johnson,SG,Off Screen Shooter,Chaser,91.2
76,Tucker DeVries,SG/SF,5,VJ Edgecombe,SG,Primary Ball Handler,Point of Attack,90.1
77,KJ Lewis,SG,1,Devin Carter,PG,Secondary Ball Handler,Point of Attack,79.6
77,KJ Lewis,SG,2,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,79.6
77,KJ Lewis,SG,3,De'Anthony Melton,PG,Primary Ball Handler,Point of Attack,77.6
77,KJ Lewis,SG,4,Jalen Williams,SG,Shot Creator,Helper,75.9
77,KJ Lewis,SG,5,Jeremiah Fears,PG,Primary Ball Handler,Point of Attack,75.4
78,Malik Reneau,PF,1,Alperen Sengun,C,Shot Creator,Mobile Big,87.1
78,Malik Reneau,PF,2,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,82.3
78,Malik Reneau,PF,3,Anthony Davis,PF,Shot Creator,Mobile Big,82.3
78,Malik Reneau,PF,4,Paolo Banchero,PF,Shot Creator,Wing Stopper,81.3
78,Malik Reneau,PF,5,Karl-Anthony Towns,C,Shot Creator,Mobile Big,81.1
80,Solo Ball,SG,1,Jordan Clarkson,SG,Movement Shooter,Chaser,93.7
80,Solo Ball,SG,2,Zach LaVine,SG,Shot Creator,Chaser,88.8
80,Solo Ball,SG,3,Devin Vassell,SG,Movement Shooter,Chaser,87.9
80,Solo Ball,SG,4,Isaac Okoro,SG,Stationary Shooter,Wing Stopper,87.6
80,Solo Ball,SG,5,Amir Coffey,SG,Stationary Shooter,Helper,87.5
