Rank,Name,School,Pos,Grade,Offensive Archetype,Defensive Role,Notes,sr_url,sr_found,year_id,team_name_abbr,conf_abbr,class,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,tov_pct
36,Alijah Arenas,USC,SG,Freshman,Stationary Shooter,Chaser,,https://www.sports-reference.com/cbb/players/alijah-arenas-1.html,1,2025-26,USC,Big Ten,FR,G,14,13,27.6,4.4,13.0,.341,0.9,4.4,.213,3.5,8.6,.405,.376,4.4,5.5,.792,2.9,2.1,0.9,0.5,2.3,2.1,14.1,.453,.335,.423,12.8
37,Flory Bidunga,Kansas,C,Sophomore,Athletic Finisher,Anchor Big,,https://www.sports-reference.com/cbb/players/flory-bidunga-1.html,1,2025-26,Kansas,Big 12,SO,F,35,34,31.5,5.6,8.8,.640,0.0,0.1,.000,5.6,8.7,.644,.640,2.0,3.1,.654,9.0,1.5,0.7,2.6,1.5,2.4,13.3,.647,.006,.347,13.1
38,Sergio de Larrea,Valencia,PG/SG,International,Secondary Ball Handler,Chaser,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Zuby Ejiofor,St. John's,PF,Senior,Roll + Cut Big,Anchor Big,,https://www.sports-reference.com/cbb/players/zuby-ejiofor-1.html,1,2025-26,St. John's (NY),Big East,SR,F,37,37,30.0,5.4,10.1,.536,0.5,1.6,.305,4.9,8.5,.580,.560,5.0,7.0,.718,7.3,3.5,1.2,2.1,2.1,2.4,16.3,.609,.158,.694,13.6
40,Alex Karaban,UConn,SF/PF,Senior,Stretch Big,Helper,,https://www.sports-reference.com/cbb/players/alex-karaban-1.html,1,2025-26,UConn,Big East,SR,F,38,38,34.1,4.8,10.1,.475,1.9,5.0,.386,2.9,5.1,.562,.570,1.7,2.0,.853,5.2,2.3,0.8,0.8,1.1,2.1,13.2,.598,.493,.196,9.1
41,Braden Smith,Purdue,PG,Senior,Primary Ball Handler,Point of Attack,,https://www.sports-reference.com/cbb/players/braden-smith-1.html,1,2025-26,Purdue,Big Ten,SR,G,39,39,34.5,5.1,11.5,.440,1.6,4.5,.362,3.4,6.9,.491,.511,2.5,3.1,.825,3.5,8.8,1.7,0.2,2.9,1.6,14.3,.551,.395,.268,18.3
42,Motiejus Krivas,Arizona,C,Junior,Roll + Cut Big,Anchor Big,,https://www.sports-reference.com/cbb/players/motiejus-krivas-1.html,1,2025-26,Arizona,Big 12,JR,C,38,38,25.3,3.5,6.1,.569,0.1,0.3,.308,3.4,5.8,.584,.578,3.4,4.3,.785,8.2,1.1,0.7,1.9,1.3,2.6,10.4,.640,.056,.703,14.1
43,Juke Harris,Wake Forest,SG,Sophomore,Shot Creator,Chaser,,https://www.sports-reference.com/cbb/players/juke-harris-1.html,1,2025-26,Wake Forest,ACC,SO,F,35,35,35.1,6.7,15.1,.444,2.5,7.5,.332,4.2,7.6,.555,.527,5.6,7.1,.783,6.5,1.9,1.3,0.2,1.7,2.1,21.4,.581,.497,.472,8.2
44,Richie Saunders,BYU,SG,Senior,Movement Shooter,Chaser,,https://www.sports-reference.com/cbb/players/richie-saunders-1.html,1,2025-26,BYU,Big 12,SR,G,25,25,31.4,6.0,12.2,.489,2.6,6.8,.376,3.4,5.4,.630,.593,3.6,4.4,.817,5.8,2.1,1.7,0.3,1.6,2.2,18.0,.632,.557,.357,10.3
45,Tarris Reed Jr.,UConn,C,Senior,Roll + Cut Big,Anchor Big,,https://www.sports-reference.com/cbb/players/tarris-reed-jr-1.html,1,2025-26,UConn,Big East,SR,F,33,33,26.9,6.1,9.8,.621,0.0,0.1,.000,6.1,9.7,.627,.621,2.6,4.3,.594,8.8,2.4,0.9,2.1,1.9,2.9,14.7,.622,.009,.444,13.7
