Player,Offensive Archetype,Defensive Role
Dean Wade,Movement Shooter,Helper
Dejounte Murray,Low Minute,Point of Attack
DeMar DeRozan,Shot Creator,Helper
Deni Avdija,Shot Creator,Helper
Dennis Schröder,Shot Creator,Point of Attack
Dereck Lively II,Athletic Finisher,Anchor Big
Derik Queen,Shot Creator,Mobile Big
Derrick Jones Jr.,Stationary Shooter,Point of Attack
Derrick White,Primary Ball Handler,Chaser
Desmond Bane,Primary Ball Handler,Chaser
Devin Booker,Shot Creator,Helper
Devin Carter,Secondary Ball Handler,Point of Attack
Devin Vassell,Movement Shooter,Chaser
Dillon Brooks,Shot Creator,Wing Stopper
Dillon Jones,Low Minute,Point of Attack
Domantas Sabonis,Roll + Cut Big,Mobile Big
Dominick Barlow,Athletic Finisher,Helper
Donovan Clingan,Stretch Big,Anchor Big
Donovan Mitchell,Shot Creator,Helper
Donte DiVincenzo,Movement Shooter,Chaser
Dorian Finney-Smith,Stationary Shooter,Wing Stopper
Doug McDermott,Off Screen Shooter,Low Activity
Drake Powell,Secondary Ball Handler,Point of Attack
Draymond Green,Offensive Hub,Helper
Drew Eubanks,Roll + Cut Big,Mobile Big
Drew Peterson,Low Minute,Helper
Drew Timme,Versatile Big,Helper
Dru Smith,Shot Creator,Point of Attack
Duncan Robinson,Off Screen Shooter,Low Activity
Duop Reath,Stationary Shooter,Helper
Dwight Powell,Athletic Finisher,Mobile Big
Dylan Cardwell,Roll + Cut Big,Mobile Big
Dylan Harper,Shot Creator,Point of Attack
Dyson Daniels,Primary Ball Handler,Point of Attack
Egor Dëmin,Primary Ball Handler,Chaser
E.J. Liddell,Low Minute,Helper
Elijah Harkless,Movement Shooter,Point of Attack
Emanuel Miller,Low Minute,Helper
Enrique Freeman,Low Minute,Chaser
Eric Gordon,Low Minute,Low Activity
Ethan Thompson,Movement Shooter,Chaser
Evan Mobley,Shot Creator,Mobile Big
Franz Wagner,Shot Creator,Wing Stopper
Gabe Vincent,Movement Shooter,Point of Attack
Garrett Temple,Low Minute,Chaser
Garrison Mathews,Off Screen Shooter,Low Activity
Gary Harris,Stationary Shooter,Chaser
Gary Payton II,Stretch Big,Chaser
Gary Trent Jr.,Movement Shooter,Chaser
GG Jackson,Shot Creator,Wing Stopper
Giannis Antetokounmpo,Offensive Hub,Helper
Goga Bitadze,Roll + Cut Big,Mobile Big
Gradey Dick,Movement Shooter,Low Activity
Grant Williams,Movement Shooter,Helper
Grayson Allen,Primary Ball Handler,Chaser
Guerschon Yabusele,Stationary Shooter,Mobile Big
Gui Santos,Movement Shooter,Helper
