Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE
7,Julius Randle,31,MIN,PF,72,72,2375,0.587,26.4,4.3,2.8,7.1,0.143,1.5,0,1.5,2.1,0.611111111,0.989002071,39.40271493,39402714.93
26,Immanuel Quickley,26,TOR,PG,67,67,2174,0.579,21.2,3.9,2.4,6.3,0.139,1.9,0.4,2.3,2.3,0.563380282,0.981910619,39.17647059,39176470.59
53,De'Aaron Fox,28,SAS,PG,63,63,1971,0.581,25,3.2,2.6,5.7,0.14,1.8,0.5,2.3,2.2,0.75,0.93948708,38.95022624,38950226.24
93,LeBron James,41,LAL,SF,51,51,1708,0.592,27,2.7,1.6,4.3,0.121,3,0,3.1,2.2,0.638888889,0.915628442,38.7239819,38723981.9
3,Desmond Bane,27,ORL,SG,72,72,2463,0.606,23.3,4.5,2.2,6.6,0.129,1.6,-0.3,1.3,2,0.527777778,0.896598029,38.49773756,38497737.56
86,Josh Hart,30,NYK,SF,58,44,1744,0.606,16.9,2.9,2.7,5.6,0.153,1.1,2.1,3.2,2.3,0.657534247,0.827483192,38.27149321,38271493.21
153,Jarrett Allen,27,CLE,C,51,51,1405,0.67,19.5,3.9,2,6,0.204,2.1,0.5,2.6,1.6,0.625,0.81991204,38.04524887,38045248.87
45,Bam Adebayo,28,MIA,C,63,63,2022,0.552,25.4,2.2,3.2,5.5,0.13,1.5,0.5,1.9,2,0.527777778,0.805761459,37.81900452,37819004.52
246,Joel Embiid,31,PHI,C,33,33,1029,0.606,33.7,2.4,1,3.4,0.16,5,-0.4,4.7,1.7,0.541666667,0.80368185,37.59276018,37592760.18
98,Michael Porter Jr.,27,BRK,SF,52,52,1689,0.595,30.4,1.8,1.3,3.1,0.088,4.3,-1.3,3,2.1,0.236111111,0.781161655,37.36651584,37366515.84
180,Luke Kornet,30,SAS,C,61,23,1284,0.685,10.5,4.2,2,6.2,0.232,1.6,1.9,3.6,1.8,0.75,0.766760623,37.14027149,37140271.49
145,Lauri Markkanen,28,UTA,PF,42,42,1443,0.608,28.2,3.3,0.3,3.7,0.122,4.7,-2.1,2.6,1.6,0.291666667,0.756261101,36.91402715,36914027.15
58,Devin Booker,29,PHO,SG,57,57,1911,0.577,32.1,3.6,1.5,5.2,0.13,2.7,-1.1,1.6,1.7,0.547945205,0.747501314,36.68778281,36687782.81
125,Josh Giddey,23,CHI,PG,49,46,1572,0.566,24.9,1.7,1.6,3.3,0.1,2.4,0.5,3,2,0.408450704,0.725440715,36.46153846,36461538.46
28,Paolo Banchero,23,ORL,PF,62,62,2170,0.571,27.8,2,2.5,4.5,0.1,1.7,-0.1,1.7,2,0.527777778,0.720126342,36.23529412,36235294.12
102,Neemias Queta,26,BOS,C,67,66,1682,0.659,14.7,4.2,3.2,7.3,0.21,0.3,1.8,2.1,1.8,0.661971831,0.717656798,36.00904977,36009049.77
63,Reed Sheppard,21,HOU,SG,71,13,1867,0.56,21.9,2.1,2.6,4.7,0.121,0.9,1.3,2.2,2,0.605633803,0.712105849,35.78280543,35782805.43
122,Cam Spencer,25,MEM,SG,67,17,1595,0.646,17.4,4.4,0.8,5.1,0.154,2.9,-0.7,2.2,1.7,0.338028169,0.700390224,35.55656109,35556561.09
255,Isaiah Hartenstein,27,OKC,C,40,39,998,0.632,16.5,2.2,2.4,4.6,0.222,1,3.1,4.1,1.5,0.791666667,0.685907124,35.33031674,35330316.74
56,OG Anunoby,28,NYK,PF,59,59,1955,0.616,20,2.5,2.9,5.4,0.133,0.7,1.2,1.9,1.9,0.657534247,0.6847504,35.1040724,35104072.4
134,Sandro Mamukelashvili,26,TOR,C,69,13,1509,0.628,18.5,3,2.1,5.1,0.162,1.6,0.6,2.2,1.6,0.563380282,0.647436014,34.87782805,34877828.05
81,Stephon Castle,21,SAS,PG,60,59,1781,0.569,25.1,2.2,2.6,4.8,0.13,0.7,0.9,1.6,1.6,0.75,0.635699963,34.65158371,34651583.71
167,Grayson Allen,30,PHO,SG,45,26,1335,0.572,24,2.3,1.4,3.7,0.133,2.4,0.1,2.4,1.5,0.547945205,0.62903701,34.42533937,34425339.37
123,Norman Powell,32,MIA,SG,53,50,1594,0.609,27.4,2.2,1.8,3.9,0.118,2,-0.1,1.9,1.6,0.527777778,0.627632857,34.19909502,34199095.02
169,Mark Williams,24,PHO,C,56,52,1322,0.67,17.5,3.7,2.1,5.8,0.212,1.4,0.4,1.8,1.3,0.547945205,0.627258332,33.97285068,33972850.68
317,Paul Reed,26,DET,C,54,8,718,0.63,20.4,1.6,1.7,3.3,0.221,1.8,2.6,4.4,1.2,0.732394366,0.607414007,33.74660633,33746606.33
104,Keldon Johnson,26,SAS,SF,72,0,1670,0.625,20.4,3.5,2.2,5.7,0.164,1.4,-0.2,1.2,1.3,0.75,0.606094189,33.52036199,33520361.99
283,Robert Williams,28,POR,C,50,1,852,0.734,13.1,2.1,1.6,3.8,0.212,2.4,2.4,4.8,1.5,0.493150685,0.602995528,33.29411765,33294117.65
87,Nikola Vučević,35,2TM,C,60,49,1740,0.577,21.6,2.6,1.8,4.4,0.122,1.6,0.1,1.6,1.6,,0.590328823,33.0678733,33067873.3
244,Mitchell Robinson,27,NYK,C,54,15,1054,0.67,10.5,2.9,2.2,5.1,0.233,1.9,1.3,3.2,1.4,0.657534247,0.578731031,32.84162896,32841628.96
27,Rudy Gobert,33,MIN,C,69,69,2172,0.674,12.8,4.6,3.6,8.2,0.182,0.3,0.9,1.1,1.7,0.611111111,0.575880301,32.61538462,32615384.62
136,Kel'el Ware,21,MIA,C,67,32,1507,0.605,18.1,2.5,2.9,5.4,0.171,1.6,0.1,1.8,1.4,0.527777778,0.575853645,32.38914027,32389140.27
181,Ajay Mitchell,23,OKC,SG,49,14,1282,0.59,22.4,1.9,2.4,4.3,0.16,0.5,1.6,2.1,1.3,0.791666667,0.561464405,32.16289593,32162895.93
29,James Harden,36,CLE,PG,18,18,611,0.655,24.1,1.6,0.6,2.2,0.171,5,-0.2,4.8,1.1,0.625,0.55837027,31.93665158,31936651.58
157,Isaiah Joe,26,OKC,SG,63,9,1384,0.639,18.1,2.7,2.2,4.9,0.169,1.4,0.5,1.9,1.4,0.791666667,0.552907465,31.71040724,31710407.24
38,Saddiq Bey,26,NOP,SF,66,58,2051,0.579,21.5,4.2,1,5.2,0.122,2.3,-1.8,0.5,1.3,0.342465753,0.542196911,31.4841629,31484162.9
33,Miles Bridges,27,CHO,PF,67,67,2107,0.562,22.5,3.1,2.2,5.3,0.121,0.9,-0.3,0.6,1.4,0.527777778,0.519718816,31.25791855,31257918.55
87,Nikola Vučević,35,CHI,C,48,48,1480,0.585,21.6,2.3,1.4,3.7,0.119,1.9,-0.1,1.8,1.4,0.408450704,0.519372287,31.03167421,31031674.21
274,Franz Wagner,24,ORL,SF,28,26,891,0.591,26.3,1.7,0.9,2.7,0.144,2.9,0,2.9,1.1,0.527777778,0.511546304,30.80542986,30805429.86
263,Luka Garza,27,BOS,C,61,4,968,0.677,17.1,3.2,1.2,4.4,0.218,1.9,0.2,2.1,1,0.661971831,0.507534383,30.57918552,30579185.52
108,Moussa Diabaté,24,CHO,C,64,38,1660,0.652,11.8,4.2,2.4,6.6,0.19,0.5,1,1.5,1.5,0.527777778,0.506843948,30.35294118,30352941.18
79,Keyonte George,22,UTA,PG,54,54,1786,0.609,28,3.3,0.2,3.4,0.093,3,-2.1,0.9,1.3,0.291666667,0.505688695,30.12669683,30126696.83
14,Nickeil Alexander-Walker,27,ATL,SG,69,62,2276,0.6,24.1,2.7,2.3,4.9,0.104,1.1,-0.6,0.5,1.4,0.555555556,0.490929996,29.94144264,29941442.64
77,Naz Reid,26,MIN,C,69,2,1795,0.58,21.7,1.4,2.8,4.2,0.111,0.4,1,1.4,1.6,0.611111111,0.478043054,29.80835773,29808357.73
121,Ausar Thompson,23,DET,SF,62,61,1596,0.53,17.4,1,3.4,4.4,0.133,-0.9,3.2,2.3,1.7,0.732394366,0.473856325,29.67527282,29675272.82
290,Goga Bitadze,26,ORL,C,54,3,812,0.706,12.8,2.5,1.3,3.8,0.227,1.1,2.2,3.3,1.1,0.527777778,0.459850437,29.54218792,29542187.92
