Player,Offensive Role,Defensive Role,O%,D%
Stephen Curry,Primary Ball Handler,Low Activity,97,98
Jordan Poole,Primary Ball Handler,Low Activity,61,65
Kevon Looney,Roll + Cut Big,Anchor Big,44,91
Klay Thompson,Off Screen Shooter,Helper,99,13
Andrew Wiggins,Shot Creator,Point of Attack,48,75
Draymond Green,Roll + Cut Big,Helper,30,100
Gary Payton II,Stretch Big,Chaser,95,100
Otto Porter Jr.,Stationary Shooter,Helper,81,99
