Player,Offensive Role,Defensive Role,O%,D%
Jimmy Butler,Shot Creator,Wing Stopper,97,100
Bam Adebayo,Shot Creator,Mobile Big,36,76
Tyler Herro,Primary Ball Handler,Chaser,50,96
Caleb Martin,Stationary Shooter,Point of Attack,17,95
Gabe Vincent,Primary Ball Handler,Point of Attack,6,60
Max Strus,Movement Shooter,Helper,43,27
Kyle Lowry,Primary Ball Handler,Helper,46,84
Kevin Love,Movement Shooter,Helper,83,90
