Player,Offensive Role,Defensive Role,O%,D%
Shai Gilgeous-Alexander,Shot Creator,Helper,100,83
Jalen Williams,Shot Creator,Helper,87,87
Isaiah Hartenstein,Roll + Cut Big,Mobile Big,87,94
Alex Caruso,Stationary Shooter,Wing Stopper,81,100
Cason Wallace,Stationary Shooter,Point of Attack,64,93
Aaron Wiggins,Movement Shooter,Chaser,95,64
Luguentz Dort,Movement Shooter,Point of Attack,75,83
Chet Holmgren,Shot Creator,Mobile Big,42,87
