Player,Offensive Role,Defensive Role,O%,D%
Joel Embiid,Shot Creator,Anchor Big,94,76
James Harden,Shot Creator,Helper,91,49
Tyrese Maxey,Primary Ball Handler,Point of Attack,70,16
Tobias Harris,Shot Creator,Helper,44,47
P.J. Tucker,Stationary Shooter,Helper,1,77
De'Anthony Melton,Movement Shooter,Point of Attack,60,81
Georges Niang,Movement Shooter,Helper,60,5
Paul Reed,Roll + Cut Big,Mobile Big,57,67
