Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
43,Nickeil Alexander-Walker,27,ATL,SG,63,56,33.2,6.8,15.4,.440,3.1,8.1,.378,3.7,7.3,.509,.540,3.4,3.8,.895,0.6,2.9,3.4,3.7,1.2,0.5,2.2,2.2,20.0,,alexani01
44,Jimmy Butler,36,GSW,SF,38,38,31.1,6.3,12.2,.519,0.8,2.2,.376,5.5,9.9,.552,.554,6.5,7.6,.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,,butleji01
45,Cooper Flagg,19,DAL,SF,55,55,33.6,7.7,16.4,.469,1.0,3.5,.295,6.7,12.9,.515,.500,3.7,4.5,.808,1.2,5.4,6.6,4.3,1.1,0.9,2.2,2.1,20.0,,flaggco01
46,Karl-Anthony Towns,30,NYK,C,63,63,31.3,6.8,13.8,.493,1.6,4.3,.370,5.2,9.5,.547,.550,4.8,5.7,.854,3.0,8.8,11.9,2.9,0.9,0.6,2.5,3.6,20.0,AS,townska01
47,Dejounte Murray,29,NOP,PG,8,8,27.0,7.3,13.3,.547,1.6,4.6,.351,5.6,8.6,.652,.608,3.6,4.4,.829,0.3,5.3,5.5,5.3,1.8,0.3,3.4,2.9,19.8,,murrade01
48,Jayson Tatum,27,BOS,PF,3,3,27.0,7.3,18.7,.393,3.0,10.3,.290,4.3,8.3,.520,.473,2.0,2.3,.857,0.7,6.0,6.7,3.7,1.0,0.0,1.3,1.3,19.7,,tatumja01
49,Ja Morant,26,MEM,PG,20,20,28.5,6.6,16.1,.410,1.0,4.3,.235,5.6,11.9,.473,.441,5.3,5.9,.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,,moranja01
50,Jaren Jackson Jr.,26,2TM,C,48,48,30.3,7.1,15.0,.476,1.8,4.9,.357,5.4,10.1,.533,.534,3.4,4.2,.803,0.9,4.8,5.7,2.0,1.1,1.4,2.2,3.7,19.4,,jacksja02
50,Jaren Jackson Jr.,26,MEM,C,45,45,30.7,7.1,14.9,.475,1.8,4.9,.359,5.3,10.0,.531,.534,3.3,4.2,.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,,jacksja02
50,Jaren Jackson Jr.,26,UTA,C,3,3,24.0,8.0,16.3,.490,1.7,5.0,.333,6.3,11.3,.559,.541,4.7,5.3,.875,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,22.3,,jacksja02
51,LaMelo Ball,24,CHO,PG,57,54,27.7,6.8,17.1,.399,3.5,9.7,.364,3.3,7.4,.445,.503,2.1,2.4,.904,0.9,4.0,4.8,7.2,1.1,0.2,2.8,2.6,19.4,,ballla01
52,Kon Knueppel,20,CHO,SF,66,65,32.0,6.6,13.5,.489,3.5,8.0,.440,3.1,5.5,.561,.620,2.5,2.9,.874,1.2,4.1,5.3,3.4,0.7,0.2,2.1,2.2,19.2,,knuepko01
53,Zach LaVine,30,SAC,SG,39,37,31.4,6.7,14.0,.479,2.5,6.5,.390,4.2,7.5,.556,.569,3.2,3.6,.880,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,,lavinza01
54,De'Aaron Fox,28,SAS,PG,57,57,31.5,7.2,14.7,.492,1.9,5.6,.346,5.3,9.1,.582,.558,2.7,3.6,.749,0.6,3.1,3.7,6.4,1.2,0.2,2.3,2.3,19.1,AS,foxde01
