Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
110,Ivica Zubac,28,LAC,C,43,42,30.9,6.1,10.0,.613,0.0,0.0,,6.1,10.0,.613,.613,2.2,3.1,.705,3.4,7.6,11.0,2.2,0.4,0.8,1.9,2.4,14.4,,zubaciv01
110,Ivica Zubac,28,IND,C,2,2,22.5,4.5,7.5,.600,0.0,0.0,,4.5,7.5,.600,.600,0.5,1.0,.500,1.0,6.0,7.0,1.5,0.5,0.5,1.0,1.0,9.5,,zubaciv01
111,Jalen Suggs,24,ORL,PG,42,41,26.6,5.0,11.2,.443,2.0,6.1,.333,3.0,5.2,.571,.533,2.1,2.5,.854,0.6,3.1,3.7,5.3,1.9,0.8,2.5,2.7,14.1,,suggsja01
112,Cam Thomas,24,2TM,SG,39,8,21.5,4.7,11.3,.412,1.3,4.2,.313,3.4,7.2,.470,.469,3.4,4.1,.819,0.3,1.5,1.7,2.6,0.2,0.1,1.7,1.1,14.0,,thomaca02
112,Cam Thomas,24,BRK,SG,24,8,24.3,5.1,12.8,.399,1.6,4.9,.325,3.5,8.0,.445,.461,3.8,4.5,.843,0.4,1.4,1.8,3.1,0.2,0.1,2.0,1.3,15.6,,thomaca02
112,Cam Thomas,24,MIL,SG,15,0,17.1,3.9,8.9,.440,0.9,3.1,.283,3.1,5.9,.523,.489,2.7,3.5,.769,0.1,1.5,1.7,1.9,0.2,0.1,1.2,0.7,11.4,,thomaca02
113,Santi Aldama,25,MEM,PF,43,11,27.9,5.3,11.1,.479,1.6,4.7,.350,3.7,6.4,.572,.553,1.8,2.7,.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14.0,,aldamsa01
114,Scoot Henderson,21,POR,PG,15,3,23.3,4.6,10.9,.421,1.9,5.7,.326,2.7,5.2,.526,.506,2.9,3.5,.846,0.7,2.1,2.9,4.1,0.3,0.3,2.9,2.9,14.0,,hendesc01
115,Keegan Murray,25,SAC,PF,23,22,34.5,5.5,13.0,.420,1.3,4.9,.277,4.1,8.2,.505,.472,1.7,2.1,.776,1.4,4.3,5.7,1.7,1.0,1.6,1.2,1.8,14.0,,murrake02
116,Jordan Poole,26,NOP,PG,33,6,24.5,4.3,11.6,.374,2.5,7.5,.340,1.8,4.1,.437,.484,2.7,3.0,.880,0.2,1.8,2.1,3.1,0.6,0.4,1.8,2.3,13.9,,poolejo01
117,Naz Reid,26,MIN,C,66,2,26.1,5.3,11.2,.470,2.2,5.9,.376,3.1,5.3,.575,.569,1.1,1.5,.700,1.2,5.1,6.3,2.3,1.0,1.0,1.6,2.5,13.9,,reidna01
118,John Collins,28,LAC,PF,54,45,27.7,5.4,9.6,.560,1.4,3.2,.423,4.0,6.4,.629,.631,1.6,2.1,.786,1.4,3.7,5.2,1.0,0.8,0.8,1.4,2.7,13.8,,collijo01
119,Tim Hardaway Jr.,33,DEN,SG,66,5,27.2,4.5,9.8,.457,2.8,6.8,.410,1.7,3.0,.563,.599,2.0,2.5,.806,0.2,2.4,2.6,1.3,0.5,0.1,0.6,1.3,13.8,,hardati02
120,P.J. Washington,27,DAL,PF,48,45,30.8,5.1,11.7,.440,1.2,4.0,.306,3.9,7.7,.509,.492,2.3,3.4,.679,1.4,5.5,6.9,1.9,0.9,1.2,1.8,2.1,13.8,,washipj01
121,De'Andre Hunter,28,2TM,SF,45,25,26.1,4.6,11.1,.415,1.7,5.5,.305,3.0,5.7,.522,.490,2.8,3.2,.867,0.7,3.4,4.1,2.0,0.7,0.1,1.7,2.5,13.7,,huntede01
121,De'Andre Hunter,28,CLE,SF,43,23,26.2,4.7,11.2,.423,1.7,5.5,.308,3.0,5.7,.535,.499,2.8,3.2,.869,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,14.0,,huntede01
121,De'Andre Hunter,28,SAC,SF,2,2,25.5,2.0,9.5,.211,1.0,4.5,.222,1.0,5.0,.200,.263,2.5,3.0,.833,0.5,1.0,1.5,0.5,0.0,0.0,2.0,2.5,7.5,,huntede01
122,Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,.633,0.1,0.5,.200,5.5,8.5,.656,.638,2.3,2.9,.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,,edeyza01
123,Reed Sheppard,21,HOU,SG,66,10,25.9,4.9,11.5,.428,2.7,6.8,.390,2.3,4.7,.484,.543,1.0,1.2,.797,0.3,2.5,2.8,3.2,1.4,0.7,1.5,2.1,13.5,,sheppre01
124,Bobby Portis,30,MIL,PF,62,9,24.0,5.4,10.8,.496,2.0,4.3,.460,3.4,6.5,.520,.587,0.7,1.0,.729,1.3,5.0,6.3,1.5,0.5,0.2,1.0,1.7,13.4,,portibo01
125,Brice Sensabaugh,22,UTA,SF,64,13,22.5,4.7,10.5,.447,2.0,5.6,.355,2.7,4.9,.553,.542,2.1,2.5,.835,0.8,2.2,3.0,1.7,0.7,0.1,1.3,1.9,13.4,,sensabr01
126,Cedric Coward,22,MEM,SG,52,37,26.1,4.8,10.3,.465,1.5,4.4,.344,3.3,5.9,.555,.538,2.2,2.6,.843,1.4,4.9,6.3,2.8,0.6,0.4,1.8,2.0,13.3,,cowarce01
127,Kyle Kuzma,30,MIL,PF,60,35,26.6,5.0,10.2,.491,1.2,3.4,.363,3.8,6.8,.555,.552,2.1,2.8,.724,0.9,3.8,4.7,2.6,0.6,0.4,1.6,2.0,13.3,,kuzmaky01
128,Collin Gillespie,26,PHO,PG,66,47,28.9,4.6,10.7,.431,3.0,7.2,.420,1.6,3.5,.454,.573,1.0,1.2,.855,1.1,3.1,4.2,4.8,1.3,0.2,1.7,1.6,13.2,,gilleco01
129,Jaylon Tyson,23,CLE,SG,62,39,27.3,5.0,10.0,.497,2.1,4.5,.457,2.9,5.5,.529,.600,1.2,1.6,.758,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.6,13.2,,tysonja01
130,Jeremiah Fears,19,NOP,PG,68,44,25.1,4.9,11.6,.425,1.1,3.4,.336,3.8,8.2,.462,.474,2.1,2.6,.799,0.7,3.0,3.7,3.2,1.1,0.4,2.2,1.8,13.1,,fearsje01
131,Tobias Harris,33,DET,PF,49,49,28.2,4.8,10.6,.453,1.3,3.8,.335,3.5,6.8,.518,.513,2.2,2.6,.880,0.9,4.3,5.1,2.2,0.9,0.3,1.0,1.7,13.1,,harrito02
132,Aaron Nesmith,26,IND,SF,38,35,29.7,4.4,11.4,.387,2.1,6.1,.349,2.3,5.3,.430,.480,2.1,2.6,.827,1.2,3.2,4.4,2.1,0.6,0.6,1.3,2.7,13.1,,nesmiaa01
133,Brandon Williams,26,DAL,PG,58,15,22.3,4.5,9.5,.472,0.6,2.4,.246,3.9,7.1,.550,.504,3.4,4.4,.784,0.5,2.5,3.0,3.8,0.9,0.3,1.9,1.6,13.1,,willibr03
134,Quentin Grimes,25,PHI,SG,60,13,29.8,4.3,9.6,.445,1.8,5.4,.332,2.5,4.3,.586,.537,2.7,3.2,.828,0.7,3.0,3.6,3.4,0.9,0.4,1.9,2.0,13.0,,grimequ01
135,De'Anthony Melton,27,GSW,PG,36,12,22.6,4.6,11.2,.413,1.6,5.2,.301,3.1,6.0,.509,.483,2.2,2.7,.823,0.7,2.3,3.0,2.4,1.6,0.4,1.7,2.2,13.0,,meltode01
136,Miles McBride,25,NYK,SG,35,14,28.0,4.5,10.3,.434,2.9,6.9,.420,1.6,3.4,.462,.575,1.0,1.2,.814,0.6,2.0,2.6,2.8,0.9,0.2,0.8,1.8,12.9,,mcbrimi01
137,Jonathan Kuminga,23,2TM,PF,24,14,24.0,4.5,9.5,.476,0.9,2.6,.355,3.6,7.0,.521,.524,2.8,3.8,.739,1.6,4.6,6.2,2.6,0.5,0.3,2.3,1.5,12.8,,kuminjo01
137,Jonathan Kuminga,23,GSW,PF,20,13,23.8,4.4,9.7,.454,0.9,2.7,.321,3.6,7.1,.504,.497,2.5,3.3,.742,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,12.1,,kuminjo01
137,Jonathan Kuminga,23,ATL,PF,4,1,24.8,5.3,8.8,.600,1.3,2.3,.556,4.0,6.5,.615,.671,4.8,6.5,.731,2.3,5.8,8.0,3.0,1.3,0.3,2.5,1.0,16.5,,kuminjo01
138,Noah Clowney,21,BRK,PF,60,54,27.8,3.9,9.8,.398,2.1,6.2,.336,1.9,3.7,.502,.503,2.9,3.5,.807,0.9,3.3,4.2,1.7,0.8,0.7,1.6,2.6,12.8,,clownno01
139,Keldon Johnson,26,SAS,SF,66,0,23.3,4.9,9.2,.529,1.2,3.2,.378,3.7,6.1,.608,.594,1.8,2.3,.789,1.7,3.9,5.5,1.3,0.6,0.1,0.9,2.1,12.8,,johnske04
140,Tre Jones,26,CHI,PG,50,26,27.0,4.8,8.7,.547,0.6,1.8,.315,4.2,6.9,.609,.580,2.7,3.2,.832,0.6,2.3,2.9,5.5,1.2,0.2,1.3,1.4,12.8,,jonestr01
141,Brandin Podziemski,22,GSW,SG,66,27,28.0,4.6,10.3,.448,1.8,4.8,.372,2.8,5.4,.517,.536,1.8,2.4,.755,0.9,4.3,5.2,3.7,1.1,0.2,1.5,1.8,12.8,,podzibr01
142,Jaylen Wells,22,MEM,SG,64,64,26.7,4.5,10.3,.431,1.9,5.4,.356,2.5,5.0,.513,.523,2.0,2.5,.784,0.9,2.4,3.3,1.7,0.9,0.1,1.1,2.2,12.8,,wellsja01
143,Toumani Camara,25,POR,PF,67,67,33.5,4.5,10.7,.423,2.5,7.1,.349,2.0,3.6,.568,.539,1.1,1.7,.675,1.6,3.8,5.4,2.6,1.1,0.4,1.9,3.0,12.7,,camarto01
144,Max Christie,22,DAL,SG,62,53,29.5,4.4,9.8,.449,2.4,5.9,.404,2.0,3.9,.516,.570,1.5,1.8,.881,0.2,3.1,3.4,2.1,0.5,0.3,1.3,1.4,12.7,,chrisma02
145,Sam Merrill,29,CLE,SG,42,30,25.9,4.2,9.0,.470,3.2,7.2,.445,1.0,1.9,.564,.646,1.0,1.2,.840,0.6,1.7,2.4,2.3,0.6,0.1,0.9,2.5,12.7,,merrisa01
146,Deandre Ayton,27,LAL,C,57,57,27.5,5.8,8.6,.669,0.0,0.0,,5.8,8.6,.669,.669,1.1,1.8,.637,2.5,5.8,8.3,0.9,0.6,0.9,1.2,2.3,12.6,,aytonde01
147,Malik Monk,27,SAC,SG,53,0,22.0,4.5,10.4,.437,2.0,5.1,.396,2.5,5.3,.477,.535,1.5,1.7,.878,0.3,1.7,1.9,2.7,0.6,0.4,1.4,1.6,12.6,,monkma01
148,Tre Johnson,19,WAS,SG,52,34,24.1,4.6,10.6,.429,2.0,5.3,.377,2.6,5.3,.482,.524,1.4,1.6,.877,0.5,2.3,2.9,2.0,0.6,0.3,1.5,1.9,12.5,,johnstr03
149,Ace Bailey,19,UTA,SF,59,48,26.7,5.0,11.2,.445,1.7,4.8,.349,3.3,6.4,.519,.520,0.8,1.1,.742,1.6,2.4,4.0,1.7,0.9,0.5,1.3,2.6,12.4,,baileac01
150,Donte DiVincenzo,29,MIN,SG,67,67,30.9,4.2,10.1,.416,3.0,7.7,.387,1.2,2.4,.509,.563,1.0,1.4,.761,1.0,3.4,4.4,4.1,1.4,0.4,1.5,2.5,12.4,,divindo01
151,Myles Turner,29,MIL,C,61,61,27.5,4.1,9.4,.440,2.1,5.5,.386,2.0,3.8,.517,.553,1.9,2.5,.747,1.1,4.3,5.4,1.5,0.7,1.6,1.2,2.5,12.2,,turnemy01
152,Duncan Robinson,31,DET,SF,64,64,27.7,4.1,9.1,.445,2.9,7.1,.402,1.2,2.0,.597,.602,1.1,1.4,.769,0.4,2.3,2.7,2.0,0.6,0.3,0.7,2.2,12.1,,robindu01
153,Nic Claxton,26,BRK,C,60,59,28.7,4.9,8.5,.576,0.1,0.3,.188,4.9,8.3,.589,.579,2.2,3.5,.608,2.5,4.6,7.1,3.9,0.7,1.2,1.4,2.3,12.0,,claxtni01
154,Donovan Clingan,21,POR,C,62,62,27.4,4.5,8.7,.524,1.0,3.1,.333,3.5,5.5,.633,.585,1.8,2.7,.663,4.5,7.0,11.6,2.1,0.6,1.6,1.2,2.3,12.0,,clingdo01
155,Moses Moody,23,GSW,SG,59,48,25.5,4.0,9.1,.441,2.5,6.2,.402,1.5,2.9,.526,.578,1.4,1.8,.771,0.8,2.5,3.3,1.6,0.9,0.5,0.9,2.0,11.9,,moodymo01
156,Josh Hart,30,NYK,SF,54,40,30.0,4.5,9.2,.495,1.4,3.8,.377,3.1,5.4,.577,.573,1.3,1.9,.706,1.5,6.1,7.6,5.1,1.1,0.3,2.0,2.5,11.8,,hartjo01
157,Klay Thompson,35,DAL,SF,59,8,21.9,4.2,10.6,.392,2.9,7.7,.380,1.3,3.0,.423,.529,0.5,0.7,.750,0.3,2.0,2.3,1.4,0.5,0.3,0.9,1.0,11.8,,thompkl01
158,Dennis Schröder,32,2TM,PG,56,16,25.5,3.9,9.8,.401,1.3,3.7,.338,2.7,6.1,.439,.464,2.6,3.1,.831,0.4,2.4,2.8,5.0,0.9,0.2,1.9,1.6,11.7,,schrode01
158,Dennis Schröder,32,SAC,PG,40,14,26.4,4.3,10.6,.408,1.4,4.2,.343,2.9,6.4,.449,.475,2.7,3.3,.820,0.6,2.5,3.1,5.3,0.8,0.2,2.0,1.7,12.8,,schrode01
158,Dennis Schröder,32,CLE,PG,16,2,23.1,3.0,7.9,.378,0.8,2.6,.317,2.2,5.4,.407,.429,2.1,2.4,.872,0.1,2.1,2.3,4.3,1.0,0.3,1.7,1.5,8.9,,schrode01
159,Wendell Carter Jr.,26,ORL,C,62,62,29.6,4.2,8.3,.506,1.0,3.1,.326,3.2,5.2,.611,.566,2.2,2.9,.780,2.1,5.5,7.6,2.1,0.8,0.7,1.2,3.5,11.6,,cartewe01
160,Rui Hachimura,27,LAL,PF,54,35,29.3,4.5,9.0,.503,1.8,4.1,.442,2.7,4.8,.556,.605,0.8,1.0,.759,0.6,2.7,3.3,0.9,0.6,0.3,0.7,1.6,11.6,,hachiru01
161,Derik Queen,21,NOP,C,67,45,25.0,4.4,9.1,.481,0.3,1.0,.269,4.1,8.1,.507,.496,2.5,3.2,.786,1.7,5.3,7.0,3.9,0.9,0.9,2.3,2.7,11.6,,queende01
162,Mark Williams,24,PHO,C,56,52,23.6,4.7,7.4,.633,0.0,0.0,1.000,4.6,7.3,.633,.635,2.2,2.9,.767,3.1,5.0,8.1,1.0,0.9,0.9,1.1,2.2,11.6,,willima07
163,Isaiah Collier,21,UTA,PG,57,17,25.7,4.2,8.5,.499,0.5,1.7,.274,3.8,6.8,.554,.526,2.5,3.5,.722,0.4,2.1,2.5,7.3,1.1,0.3,2.5,2.4,11.5,,colliis01
164,Dyson Daniels,22,ATL,SG,62,62,33.4,5.2,10.2,.507,0.2,1.5,.132,5.0,8.7,.570,.517,1.0,1.6,.606,2.2,4.4,6.6,6.2,1.9,0.4,1.8,2.1,11.5,,daniedy01
165,Scotty Pippen Jr.,25,MEM,PG,10,6,21.2,4.3,9.6,.448,1.0,3.2,.313,3.3,6.4,.516,.500,1.8,2.3,.783,0.8,1.4,2.2,4.7,1.9,0.4,2.7,3.1,11.4,,pippesc02
166,Cam Spencer,25,MEM,SG,63,17,24.0,3.8,7.9,.480,2.0,4.6,.443,1.7,3.3,.531,.609,1.8,1.9,.934,0.5,2.1,2.7,5.5,0.7,0.2,1.3,1.5,11.4,,spencca01
167,Cameron Johnson,29,DEN,SF,41,41,30.2,3.9,8.4,.457,1.8,4.3,.410,2.1,4.1,.506,.562,1.8,2.2,.843,0.8,3.0,3.7,2.3,0.6,0.4,0.9,2.3,11.3,,johnsca02
168,Caleb Love,24,POR,SG,45,1,22.2,4.2,10.8,.390,2.1,6.4,.321,2.1,4.3,.492,.486,0.8,1.1,.735,0.6,2.0,2.5,2.7,0.6,0.1,1.4,1.0,11.3,,loveca01
169,Kel'el Ware,21,MIA,C,62,30,22.6,4.6,8.6,.530,1.1,2.9,.387,3.5,5.7,.603,.595,1.0,1.3,.759,3.1,6.3,9.4,0.5,0.9,1.1,0.9,1.6,11.3,,wareke01
170,Khris Middleton,34,2TM,SF,49,44,24.3,4.0,9.1,.438,1.1,3.0,.356,2.9,6.2,.477,.496,2.1,2.4,.867,0.9,2.9,3.8,3.1,0.7,0.2,1.7,2.4,11.2,,middlkh01
170,Khris Middleton,34,WAS,SF,34,34,24.3,3.8,8.8,.433,1.0,2.9,.333,2.9,5.9,.483,.488,1.7,2.0,.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3,,middlkh01
170,Khris Middleton,34,DAL,SF,15,10,24.2,4.4,9.9,.446,1.3,3.1,.404,3.1,6.7,.465,.510,3.1,3.4,.902,1.0,2.6,3.6,2.7,0.5,0.0,1.9,2.0,13.1,,middlkh01
171,Julian Champagnie,24,SAS,SF,66,52,27.7,3.6,8.3,.434,2.5,6.3,.388,1.2,2.0,.585,.582,1.5,1.8,.833,0.9,5.0,5.8,1.5,0.8,0.4,0.9,1.6,11.2,,champju02
172,Dylan Harper,19,SAS,SG,55,0,22.2,4.5,9.3,.487,0.7,2.5,.292,3.8,6.8,.559,.526,1.4,1.9,.733,0.7,2.6,3.3,3.8,0.8,0.3,1.4,1.9,11.2,,harpedy01
173,GG Jackson II,21,MEM,PF,45,18,20.6,4.2,8.5,.497,1.1,3.3,.333,3.2,5.3,.599,.561,1.7,2.4,.708,0.9,3.4,4.2,1.4,0.6,0.8,1.5,1.5,11.2,,jacksgg01
174,Derrick Jones Jr.,28,LAC,SF,34,29,27.1,4.1,8.0,.520,1.3,3.4,.371,2.9,4.6,.632,.600,1.7,2.2,.770,1.1,2.0,3.1,1.3,1.0,1.1,0.8,2.1,11.2,,jonesde02
175,Jarace Walker,22,IND,PF,66,31,25.3,3.8,9.4,.409,1.7,4.6,.361,2.2,4.8,.455,.497,1.9,2.5,.765,0.7,4.4,5.1,2.3,0.8,0.3,1.8,1.8,11.2,,walkeja02
176,Alondes Williams,26,WAS,SG,4,0,25.3,4.0,6.5,.615,1.3,3.5,.357,2.8,3.0,.917,.712,1.8,2.0,.875,1.3,5.0,6.3,3.0,0.8,0.8,1.3,1.0,11.0,,willial06
177,Rudy Gobert,33,MIN,C,64,64,31.5,4.4,6.2,.711,0.0,0.1,.000,4.4,6.1,.718,.711,2.2,4.2,.517,3.8,7.5,11.3,1.8,0.8,1.6,1.3,2.7,10.9,,goberru01
178,Isaiah Joe,26,OKC,SG,58,9,21.9,3.4,7.7,.441,2.4,6.0,.409,0.9,1.7,.557,.601,1.7,1.9,.883,0.5,2.2,2.6,1.4,0.7,0.2,0.6,1.8,10.9,,joeis01
179,Jusuf Nurkić,31,UTA,C,41,36,26.4,4.4,8.7,.503,0.6,1.7,.352,3.8,7.0,.540,.538,1.5,2.8,.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9,,nurkiju01
180,Maxime Raynaud,22,SAC,C,59,41,25.0,4.6,8.3,.560,0.2,0.8,.239,4.5,7.5,.594,.572,1.4,1.8,.794,2.0,5.2,7.2,1.2,0.5,0.6,1.1,2.3,10.9,,raynama01
181,Jock Landale,30,2TM,C,59,26,22.4,4.2,8.3,.510,1.1,2.9,.386,3.1,5.4,.577,.578,1.3,1.9,.652,2.9,3.1,5.9,1.6,0.5,0.5,0.9,2.2,10.8,,landajo01
181,Jock Landale,30,MEM,C,45,25,23.6,4.4,8.6,.514,1.1,2.9,.380,3.4,5.8,.581,.577,1.3,2.0,.674,3.1,3.4,6.5,1.7,0.6,0.5,1.0,2.3,11.3,,landajo01
181,Jock Landale,30,ATL,C,14,1,18.8,3.5,7.1,.495,1.2,3.0,.405,2.3,4.1,.561,.581,1.1,1.9,.577,2.0,2.1,4.1,1.4,0.4,0.6,0.6,1.9,9.3,,landajo01
182,MarJon Beauchamp,25,PHI,SF,4,0,18.0,4.0,7.8,.516,1.8,4.3,.412,2.3,3.5,.643,.629,1.0,1.3,.800,0.5,2.8,3.3,1.8,1.0,0.5,1.3,1.0,10.8,,beaucma01
183,Christian Braun,24,DEN,SG,31,31,31.8,4.1,8.3,.488,0.9,3.1,.292,3.2,5.2,.605,.543,1.8,2.5,.737,1.6,3.4,5.0,2.9,0.6,0.3,1.2,2.3,10.8,,braunch01
184,Bilal Coulibaly,21,WAS,SG,45,45,26.6,3.7,9.0,.409,1.1,3.6,.299,2.6,5.4,.483,.469,2.3,3.1,.745,0.8,3.5,4.4,2.6,1.4,0.9,1.5,2.6,10.8,,coulibi01
185,Sandro Mamukelashvili,26,TOR,C,64,12,22.0,4.0,7.8,.516,1.3,3.6,.369,2.7,4.1,.645,.602,1.4,1.9,.758,1.4,3.5,4.9,1.9,0.7,0.6,0.8,2.0,10.8,,mamuksa01
186,Tari Eason,24,HOU,PF,44,30,26.2,4.2,9.7,.428,1.7,4.5,.384,2.4,5.2,.465,.516,0.6,0.9,.700,2.0,4.3,6.3,1.6,1.3,0.5,1.5,2.4,10.7,,easonta01
187,Pelle Larsson,24,MIA,SG,56,43,25.4,3.8,7.7,.491,0.9,2.8,.325,2.9,4.9,.583,.549,2.3,2.9,.790,0.8,2.6,3.4,3.4,0.7,0.3,1.2,1.9,10.7,,larsspe01
188,Kyle Filipowski,22,UTA,C,66,30,22.9,3.8,7.7,.495,0.9,2.6,.345,2.9,5.1,.571,.553,2.0,2.7,.747,1.9,5.1,7.0,2.4,1.0,0.5,1.6,3.0,10.5,,filipky01
189,Harrison Barnes,33,SAS,PF,61,49,26.9,3.5,7.9,.445,1.9,4.9,.377,1.7,3.0,.558,.562,1.4,1.7,.846,0.9,2.1,2.9,2.0,0.7,0.2,0.9,1.1,10.3,,barneha02
190,Egor Dёmin,19,BRK,PG,52,45,25.2,3.4,8.6,.399,2.4,6.2,.385,1.1,2.4,.433,.537,1.0,1.3,.831,0.4,2.8,3.2,3.3,0.8,0.3,1.7,1.8,10.3,,demineg01
191,Jalen Smith,25,CHI,C,49,17,20.8,3.7,7.8,.475,1.6,4.2,.372,2.1,3.6,.598,.576,1.3,1.8,.727,1.9,5.0,6.9,1.3,0.5,0.8,0.9,2.1,10.3,,smithja04
192,Marvin Bagley III,26,2TM,PF,49,10,20.1,4.1,6.8,.610,0.2,0.6,.393,3.9,6.2,.630,.627,1.7,2.5,.677,2.6,3.6,6.2,1.4,0.5,0.8,1.1,2.0,10.2,,baglema01
192,Marvin Bagley III,26,WAS,PF,38,8,19.2,4.1,6.5,.626,0.2,0.5,.421,3.8,6.0,.643,.642,1.8,2.6,.711,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.1,,baglema01
192,Marvin Bagley III,26,DAL,PF,11,2,23.1,4.4,7.7,.565,0.3,0.8,.333,4.1,6.9,.592,.582,1.4,2.5,.556,2.6,5.4,8.0,1.3,0.3,0.9,0.8,1.8,10.4,,baglema01
193,Isaiah Hartenstein,27,OKC,C,36,35,25.4,4.3,6.8,.637,0.0,0.2,.000,4.3,6.6,.653,.637,1.6,2.6,.609,3.2,6.1,9.2,3.5,1.0,0.8,1.9,2.7,10.2,,harteis01
194,Zaccharie Risacher,20,ATL,SF,52,45,24.1,3.9,8.8,.444,1.5,4.2,.359,2.4,4.6,.523,.531,0.8,1.4,.592,1.1,2.8,3.8,1.3,0.9,0.6,0.9,2.2,10.2,,risacza01
195,D'Angelo Russell,29,DAL,PG,26,3,19.0,3.6,8.9,.405,1.3,4.3,.295,2.3,4.6,.508,.476,1.7,2.3,.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,,russeda01
196,Ausar Thompson,23,DET,SF,57,56,25.6,4.2,8.1,.522,0.1,0.4,.273,4.1,7.7,.534,.528,1.6,2.8,.578,2.1,3.8,5.9,2.9,1.9,0.9,1.4,2.7,10.2,,thompau01
197,Aaron Wiggins,27,OKC,SG,52,18,23.3,3.8,8.8,.430,1.6,4.5,.352,2.2,4.4,.511,.520,1.0,1.3,.735,0.7,2.7,3.3,1.8,1.0,0.5,1.3,1.4,10.2,,wiggiaa01
198,Leaky Black,26,WAS,SF,5,2,31.8,3.6,7.8,.462,1.6,4.0,.400,2.0,3.8,.526,.564,1.2,1.2,1.000,1.4,4.0,5.4,1.4,0.4,0.8,0.8,3.0,10.0,,blackle01
199,Royce O'Neale,32,PHO,SF,67,62,29.2,3.5,8.3,.415,2.8,6.9,.401,0.7,1.5,.480,.581,0.3,0.4,.700,0.7,4.2,4.9,2.8,1.1,0.4,1.4,2.3,10.0,,onealro01
200,Isaiah Stewart,24,DET,C,55,13,23.1,3.8,7.0,.541,0.7,2.1,.333,3.1,4.9,.632,.592,1.7,2.3,.760,1.7,3.4,5.1,1.2,0.3,1.6,1.1,2.8,10.0,,stewais01
201,Kevin Huerter,27,2TM,SF,55,11,22.1,3.8,8.5,.447,1.4,4.7,.300,2.4,3.8,.629,.530,0.9,1.1,.758,0.5,3.1,3.6,2.5,0.8,0.6,1.0,1.8,9.9,,huertke01
201,Kevin Huerter,27,CHI,SF,44,11,23.6,4.2,9.2,.455,1.6,5.1,.314,2.6,4.1,.630,.542,0.9,1.3,.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9,,huertke01
201,Kevin Huerter,27,DET,SG,11,0,16.5,2.4,6.0,.394,0.7,3.4,.216,1.6,2.6,.621,.455,0.5,0.5,1.000,0.5,2.0,2.5,1.8,0.6,0.5,0.4,1.1,6.0,,huertke01
202,Bub Carrington,20,WAS,PG,65,33,27.6,3.5,8.6,.404,1.9,5.0,.389,1.5,3.6,.426,.517,1.0,1.3,.736,0.5,3.2,3.7,4.6,0.7,0.2,2.3,2.2,9.9,,carrica01
203,Landry Shamet,28,NYK,SG,43,11,23.1,3.3,7.3,.451,2.1,5.3,.400,1.2,2.0,.588,.597,1.2,1.7,.718,0.4,1.4,1.9,1.5,0.5,0.2,0.6,1.7,9.9,,shamela01
204,Neemias Queta,26,BOS,C,62,61,24.9,4.1,6.5,.633,0.0,0.1,.000,4.1,6.4,.642,.633,1.6,2.3,.690,2.9,5.4,8.4,1.4,0.8,1.3,1.1,2.8,9.8,,quetane01
205,Zach Collins,28,CHI,C,10,0,18.4,3.7,6.4,.578,0.9,2.1,.429,2.8,4.3,.651,.648,1.4,2.0,.700,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,9.7,,colliza01
206,A.J. Green,26,MIL,SG,61,58,29.2,3.2,7.6,.416,2.8,6.9,.407,0.4,0.8,.500,.600,0.5,0.7,.805,0.3,2.2,2.5,1.9,0.5,0.1,0.8,2.4,9.7,,greenaj01
207,Jakob Poeltl,30,TOR,C,31,29,25.4,4.2,6.1,.693,0.0,0.0,,4.2,6.1,.693,.693,1.3,2.0,.645,2.6,4.8,7.4,2.0,0.8,0.7,1.4,3.2,9.7,,poeltja01
208,Ziaire Williams,24,BRK,SF,46,5,23.0,3.1,7.4,.418,1.6,4.9,.330,1.5,2.6,.585,.526,1.9,2.2,.871,0.6,1.9,2.5,1.0,1.2,0.4,1.0,2.0,9.7,,willizi02
209,Corey Kispert,26,2TM,SF,45,9,20.0,3.3,7.1,.466,1.6,4.2,.366,1.8,2.9,.612,.575,1.4,1.7,.829,0.4,2.0,2.4,1.7,0.3,0.2,0.8,1.0,9.6,,kispeco01
209,Corey Kispert,26,WAS,SF,19,2,19.5,3.1,6.3,.496,1.6,4.0,.395,1.5,2.3,.674,.622,1.4,1.8,.765,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,9.2,,kispeco01
