Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
446,Walker Kessler,24,UTA,C,5,5,154,20.8,.786,.216,.541,16.0,22.3,19.1,14.0,2.2,5.8,25.9,16.6,0.3,0.1,0.5,.151,1.6,1.7,3.3,0.2,,kesslwa01
447,Lachlan Olbrich,22,CHI,C,24,0,153,9.0,.465,.267,.333,11.3,20.6,16.0,14.1,1.2,1.1,16.9,11.4,0.1,0.1,0.2,.057,-4.5,0.2,-4.2,-0.1,,olbrila01
448,Doug McDermott,34,SAC,SF,15,0,153,7.3,.570,.960,.040,0.7,7.5,4.0,3.6,0.9,0.6,10.5,15.8,0.0,0.0,0.0,-0.010,-2.5,-2.7,-5.2,-0.1,,mcderdo01
449,Oscar Tshiebwe,26,UTA,C,12,1,153,15.4,.623,.000,.100,14.7,21.0,17.8,9.3,1.2,0.6,8.7,12.4,0.3,0.0,0.4,.115,-0.8,-2.4,-3.1,0.0,,tshieos01
450,Killian Hayes,24,SAC,PG,9,1,146,6.5,.342,.460,.120,1.5,11.8,6.5,27.6,1.6,0.0,7.1,16.5,-0.2,0.0,-0.1,-0.044,-6.6,-1.9,-8.6,-0.2,,hayeski01
451,Xavier Tillman Sr.,27,2TM,C,22,1,143,10.6,.461,.447,.000,12.6,14.4,13.5,7.3,2.1,2.1,13.6,13.3,0.0,0.2,0.2,.070,-2.9,0.1,-2.8,0.0,,tillmxa01
451,Xavier Tillman Sr.,27,BOS,C,14,1,111,11.3,.500,.484,.000,10.0,14.6,12.3,6.0,2.7,1.8,13.9,14.1,0.0,0.2,0.2,.079,-2.1,0.9,-1.2,0.0,,tillmxa01
451,Xavier Tillman Sr.,27,CHO,C,8,0,32,8.1,.286,.286,.000,21.5,13.8,17.6,12.0,0.0,2.9,12.5,10.6,0.0,0.0,0.0,.039,-5.4,-2.8,-8.1,-0.1,,tillmxa01
452,Jeff Green,39,HOU,PF,25,0,134,11.4,.543,.679,.057,4.2,11.4,7.8,4.2,0.4,0.7,1.8,17.4,0.2,0.1,0.3,.107,-0.6,-2.4,-3.0,0.0,,greenje02
453,Miles Kelly,23,DAL,PG,14,0,134,8.3,.484,.750,.023,4.0,14.7,9.5,12.1,1.4,0.6,11.9,15.8,-0.1,0.1,0.1,.019,-4.6,-0.4,-5.0,-0.1,,kellymi02
454,Mason Plumlee,35,2TM,C,16,2,133,14.0,.752,.000,1.000,9.4,26.6,18.1,16.4,2.9,0.0,34.2,8.3,0.2,0.2,0.4,.148,-1.4,2.9,1.6,0.1,,plumlma01
454,Mason Plumlee,35,CHO,C,14,2,125,13.5,.752,.000,1.000,9.2,26.6,18.0,16.5,2.4,0.0,34.2,8.9,0.2,0.2,0.4,.137,-1.5,2.6,1.0,0.1,,plumlma01
454,Mason Plumlee,35,SAS,C,2,0,8,21.4,,,,13.7,26.2,20.1,14.0,12.0,0.0,,0.0,0.0,0.0,0.1,.324,1.1,8.9,10.0,0.0,,plumlma01
455,Kevin McCullar Jr.,24,NYK,SF,19,0,127,7.5,.470,.500,.147,7.8,13.1,10.4,19.1,2.3,0.0,24.9,16.1,-0.1,0.2,0.1,.021,-4.9,0.4,-4.5,-0.1,,mcculke01
456,Julian Reese,22,WAS,PF,4,3,124,12.9,.629,.000,.800,14.4,20.8,17.6,8.3,1.9,1.4,25.0,12.1,0.1,0.1,0.2,.079,-2.8,-1.4,-4.2,-0.1,,reeseju01
457,Bradley Beal,32,LAC,SG,6,6,121,5.1,.476,.396,.167,2.0,2.8,2.4,12.1,1.2,0.0,14.9,22.2,-0.2,0.0,-0.2,-0.070,-6.6,-3.9,-10.5,-0.3,,bealbr01
458,Amari Williams,24,BOS,PF,18,2,119,9.2,.517,.000,.750,6.5,20.8,13.8,8.2,0.9,7.7,24.8,10.3,0.0,0.2,0.2,.073,-4.9,2.7,-2.2,0.0,,william01
459,Dereck Lively II,21,DAL,C,7,4,115,15.0,.670,.000,.556,13.2,20.7,17.0,14.8,1.6,8.0,30.9,11.8,0.1,0.2,0.3,.133,-3.0,3.6,0.6,0.1,,livelde01
460,A.J. Lawson,25,TOR,SG,14,0,110,12.1,.545,.537,.220,7.0,16.6,11.7,3.8,1.8,2.6,8.2,19.1,0.1,0.2,0.2,.092,-2.4,-0.4,-2.8,0.0,,lawsoaj01
461,Bismack Biyombo,33,SAS,C,19,1,108,4.7,.714,.000,.556,4.1,11.6,7.9,5.5,1.8,0.8,34.9,6.7,0.0,0.1,0.2,.069,-6.4,1.7,-4.7,-0.1,,biyombi01
462,Adou Thiero,21,LAL,SF,19,0,104,9.9,.551,.048,.476,8.1,14.2,11.2,7.4,2.3,1.8,16.4,12.7,0.1,0.1,0.2,.074,-4.6,0.0,-4.6,-0.1,,thierad01
463,Luke Travers,24,CLE,SG,12,0,103,10.3,.350,.444,.250,9.6,16.0,12.8,10.8,3.3,3.6,7.0,17.5,-0.1,0.2,0.1,.028,-4.2,1.0,-3.2,0.0,,travelu01
464,Alijah Martin,24,TOR,SG,16,0,102,12.4,.487,.412,.471,6.5,9.0,7.7,10.4,3.3,2.9,8.9,18.9,0.0,0.2,0.2,.083,-2.8,1.6,-1.2,0.0,,martial01
465,Yuki Kawamura,24,CHI,PG,9,0,102,13.7,.508,.800,.300,5.3,14.4,9.9,33.6,2.8,0.0,20.9,11.8,0.2,0.1,0.3,.119,-1.6,0.3,-1.4,0.0,,kawamyu01
466,LJ Cryer,24,GSW,PG,8,0,102,15.4,.669,.825,.275,3.2,12.0,7.5,7.3,0.5,0.0,4.3,19.4,0.3,0.1,0.3,.155,1.3,-1.6,-0.3,0.0,,cryerlj01
467,Malevy Leons,26,GSW,SF,13,0,101,13.4,.508,.346,.308,13.8,14.3,14.1,9.3,2.4,3.6,9.2,13.6,0.1,0.1,0.3,.124,-3.0,0.5,-2.4,0.0,,leonsma01
468,Alondes Williams,26,WAS,SG,4,0,101,19.2,.745,.538,.308,5.2,21.3,13.1,16.9,1.4,2.6,14.5,14.2,0.3,0.1,0.3,.159,1.4,-0.7,0.7,0.1,,willial06
469,Javonte Cooke,26,POR,SG,19,0,94,-0.1,.275,.561,.049,4.5,17.5,10.9,9.9,3.0,0.0,17.7,21.9,-0.5,0.1,-0.4,-0.184,-10.5,-1.3,-11.8,-0.2,,cookeja01
470,Chris Boucher,33,BOS,PF,9,0,94,7.8,.392,.600,.160,2.4,18.4,10.5,4.0,2.7,7.5,3.6,12.8,-0.1,0.2,0.1,.062,-5.8,2.7,-3.2,0.0,,bouchch01
471,Joe Ingles,38,MIN,SF,22,0,90,8.7,.607,.667,.222,0.0,8.4,4.3,26.4,3.7,0.0,44.7,8.4,0.0,0.1,0.1,.066,-3.2,2.5,-0.6,0.0,,inglejo01
472,Kobe Bufkin,22,LAL,SG,11,1,90,5.1,.397,.526,.211,1.3,10.1,5.8,7.4,1.1,3.1,8.8,22.0,-0.2,0.1,-0.2,-0.085,-7.2,-3.5,-10.6,-0.2,,bufkiko01
