Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
522,Curtis Jones,24,DEN,SG,6,0,31,1.4,.321,.643,.000,3.8,13.9,9.1,12.8,0.0,0.0,6.7,21.1,-0.1,0.0,-0.1,-0.138,-9.8,-5.8,-15.5,-0.1,,jonescu01
523,Hunter Sallis,22,PHI,SG,7,0,26,2.1,.595,.000,.400,0.0,4.3,2.1,20.9,0.0,3.6,46.0,17.7,-0.1,0.0,-0.1,-0.152,-7.7,-3.0,-10.7,-0.1,,sallihu01
524,Mark Sears,23,MIL,PG,7,0,26,15.3,.666,.615,.615,4.4,4.3,4.3,12.4,0.0,0.0,19.5,34.9,0.0,0.0,0.0,.018,2.3,-4.6,-2.3,0.0,,searsma01
525,Chris Mañon,24,LAL,SG,6,0,25,9.2,.347,1.000,1.000,4.8,22.8,14.0,4.6,5.8,7.5,25.8,6.8,0.0,0.1,0.0,.082,-6.4,5.7,-0.7,0.0,,manonch01
526,Orlando Robinson,25,ORL,C,4,1,25,14.7,.700,.400,.000,8.8,8.9,8.9,16.5,1.9,0.0,0.0,8.5,0.1,0.0,0.1,.199,0.7,0.6,1.3,0.0,,robinor01
527,Dalano Banton,26,2TM,PG,5,0,25,12.7,.506,.000,.222,4.8,0.0,2.3,24.9,2.0,4.0,16.8,20.8,0.0,0.0,0.0,.032,-4.4,-0.7,-5.0,0.0,,bantoda01
527,Dalano Banton,26,LAC,PG,2,0,10,27.9,.750,.000,.000,12.0,0.0,5.8,37.6,5.0,0.0,20.0,22.2,0.0,0.0,0.0,.227,7.3,5.2,12.5,0.0,,bantoda01
527,Dalano Banton,26,BOS,PG,3,0,15,2.5,.340,.000,.400,0.0,0.0,0.0,16.5,0.0,6.7,14.5,19.9,0.0,0.0,0.0,-0.098,-12.1,-4.6,-16.7,-0.1,,bantoda01
528,Dillon Jones,24,NYK,SF,5,0,24,16.9,.518,.600,.800,9.1,18.5,13.8,19.8,4.1,0.0,0.0,12.0,0.1,0.0,0.1,.254,-1.1,4.7,3.6,0.0,,jonesdi01
529,DeJon Jarreau,28,MEM,SG,1,0,24,6.7,.436,.333,.333,8.9,22.7,15.8,15.9,2.0,0.0,30.4,17.1,-0.1,0.0,0.0,-0.050,-5.7,-0.8,-6.6,0.0,,jarrede01
530,Isaac Jones,25,2TM,PF,5,1,24,9.4,.595,.400,.400,9.0,9.1,9.3,5.2,0.0,0.0,0.0,10.3,0.0,0.0,0.0,.090,-4.2,-1.8,-6.0,0.0,,jonesis01
530,Isaac Jones,25,SAC,PF,3,1,17,5.7,.521,.500,1.000,12.7,0.0,6.5,7.4,0.0,0.0,0.0,7.2,0.0,0.0,0.0,.060,-6.3,-1.9,-8.2,0.0,,jonesis01
530,Isaac Jones,25,DET,PF,2,0,7,18.4,.667,.333,.000,0.0,31.4,15.8,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,.163,1.0,-1.5,-0.6,0.0,,jonesis01
531,Koby Brea,23,PHO,SG,5,0,23,25.4,.810,.778,.222,0.0,9.9,4.8,20.7,0.0,0.0,0.0,18.3,0.1,0.0,0.2,.323,11.3,-0.5,10.8,0.1,,breako01
532,Brandon Clarke,29,MEM,PF,2,2,20,12.3,.372,.000,.444,21.5,10.9,16.2,7.0,4.7,0.0,0.0,22.3,0.0,0.0,0.0,.052,-4.7,-0.1,-4.8,0.0,,clarkbr01
533,Riley Minix,25,2TM,SF,5,0,19,27.2,.722,.444,.000,11.5,17.1,14.3,28.2,2.5,0.0,10.0,22.2,0.1,0.0,0.1,.244,6.8,3.0,9.8,0.1,,minixri01
533,Riley Minix,25,SAS,SF,3,0,8,44.9,.750,.500,.000,13.7,13.1,13.4,31.9,6.0,0.0,0.0,31.6,0.1,0.0,0.1,.427,18.0,7.3,25.3,0.1,,minixri01
533,Riley Minix,25,CLE,SF,2,0,11,14.3,.667,.333,.000,9.9,20.0,14.9,25.5,0.0,0.0,25.0,15.3,0.0,0.0,0.0,.111,-1.3,-0.2,-1.5,0.0,,minixri01
534,Harrison Ingram,23,SAS,SF,5,0,17,23.0,.900,.200,.000,19.4,0.0,9.5,9.0,0.0,0.0,0.0,12.4,0.1,0.0,0.1,.296,7.8,-0.7,7.2,0.0,,ingraha01
535,Jacob Toppin,25,ATL,SF,5,0,17,15.1,.667,.000,.000,0.0,6.4,3.2,8.9,0.0,5.3,0.0,14.7,0.0,0.0,0.0,.123,-0.2,0.4,0.2,0.0,,toppija01
536,Chris Livingston,22,CLE,SF,3,0,17,15.5,.605,.429,.143,0.0,19.4,9.7,8.9,2.8,0.0,0.0,18.4,0.0,0.0,0.1,.169,-4.7,2.0,-2.8,0.0,,livinch01
537,Buddy Boeheim,26,OKC,SF,4,0,15,4.7,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,.010,-3.9,-4.6,-8.4,0.0,,boehebu01
538,N'Faly Dante,24,ATL,C,4,0,15,12.4,.338,.000,.250,21.3,29.1,25.1,0.0,6.3,0.0,18.4,15.1,0.0,0.0,0.0,.046,-3.8,-1.0,-4.7,0.0,,nfalyda01
539,Norchad Omier,24,LAC,PF,3,0,14,28.9,.800,.200,.000,17.2,16.1,16.7,13.1,3.6,0.0,0.0,15.8,0.1,0.0,0.1,.330,4.1,0.5,4.6,0.0,,omierno01
540,Rocco Zikarsky,19,MIN,C,3,0,14,19.2,1.000,.000,.000,8.1,23.2,15.8,0.0,0.0,12.6,0.0,6.0,0.0,0.0,0.1,.223,2.0,1.1,3.0,0.0,,zikarro01
541,John Poulakidas,22,DAL,SG,1,0,14,-0.4,.000,.500,.000,7.7,29.5,18.9,16.6,0.0,0.0,33.3,9.0,0.0,0.0,0.0,-0.105,-9.9,-0.9,-10.8,0.0,,poulajo01
542,Chucky Hepburn,22,TOR,PG,2,0,13,-13.5,.000,.833,.000,0.0,8.8,4.3,17.7,3.8,0.0,14.3,23.1,-0.1,0.0,-0.1,-0.443,-20.8,-3.2,-24.0,-0.1,,hepbuch01
543,Vladislav Goldin,24,MIA,C,4,0,12,14.1,.667,.000,.000,8.5,25.7,17.1,22.6,0.0,7.5,25.0,13.5,0.0,0.0,0.0,.142,-5.0,5.8,0.8,0.0,,goldivl01
544,David Roddy,24,DEN,PF,2,0,12,10.1,.258,1.000,.667,9.8,27.0,18.8,18.9,4.1,0.0,0.0,14.1,0.0,0.0,0.0,.063,-5.1,1.1,-4.0,0.0,,roddyda01
545,Taj Gibson,40,MEM,C,1,0,12,1.9,.300,.400,.000,17.9,9.1,13.5,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,-0.070,-5.7,-8.1,-13.8,0.0,,gibsota01
546,John Tonje,24,BOS,SG,3,0,11,4.3,.347,1.000,1.000,0.0,19.6,9.9,10.4,0.0,0.0,0.0,11.4,0.0,0.0,0.0,.036,-11.1,-2.0,-13.2,0.0,,tonjejo01
547,Tosan Evbuomwan,24,NYK,SF,5,0,8,-0.3,.000,.000,.000,13.7,13.9,13.8,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,-0.024,-8.5,-3.0,-11.6,0.0,,evbuoto01
548,Enrique Freeman,25,MIN,PF,2,0,8,9.1,,,,0.0,40.6,20.7,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,.104,-1.2,3.5,2.4,0.0,,freemen01
549,Stanley Umude,26,SAS,SG,2,0,7,11.6,.500,.500,.000,0.0,0.0,0.0,19.1,6.8,0.0,0.0,12.1,0.0,0.0,0.0,.161,-6.6,6.9,0.3,0.0,,umudest01
550,Colby Jones,23,DET,SG,1,0,7,13.0,.333,.667,.000,0.0,62.7,31.7,38.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,.124,-3.1,5.6,2.4,0.0,,jonesco02
551,Noa Essengue,19,CHI,PF,2,0,6,-12.1,.000,.667,.000,0.0,0.0,0.0,0.0,7.9,0.0,0.0,21.0,-0.1,0.0,-0.1,-0.420,-20.6,-3.1,-23.7,0.0,,essenno01
552,Trentyn Flowers,20,CHI,SF,2,0,6,16.8,.667,.333,.000,18.0,0.0,8.9,30.8,0.0,0.0,25.0,28.0,0.0,0.0,0.0,.024,1.8,-2.8,-0.9,0.0,,flowetr01
553,Sean Pedulla,23,LAC,PG,1,0,6,43.9,.750,1.000,.000,0.0,18.8,9.7,100.0,0.0,0.0,0.0,29.6,0.1,0.0,0.1,.693,18.8,-3.7,15.1,0.0,,pedulse01
554,Tyler Smith,21,DAL,PF,1,0,6,-23.5,.000,1.000,.000,0.0,17.2,8.8,0.0,0.0,0.0,25.0,28.0,-0.1,0.0,-0.1,-0.707,-24.8,-10.8,-35.6,0.0,,smithty02
555,Trevor Keels,22,MIA,SG,4,0,5,-22.6,.000,.750,.000,0.0,41.1,20.5,0.0,0.0,0.0,0.0,32.4,-0.1,0.0,-0.1,-0.684,-28.5,-11.4,-39.9,0.0,,keelstr01
556,Max Shulga,23,BOS,SG,3,0,5,-13.7,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,-0.184,-24.0,-2.9,-26.9,0.0,,shulgma01
557,Hunter Dickinson,25,NOP,C,1,0,5,-11.0,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,19.2,50.0,33.3,-0.1,0.0,-0.1,-0.521,-26.9,1.0,-26.0,0.0,,dickihu01
558,Darius Brown II,26,CLE,SG,1,0,3,-7.7,.000,.000,.000,0.0,36.6,18.3,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-0.264,-16.2,-2.4,-18.6,0.0,,brownda04
,League Average,,,,,,,,.580,.415,.265,5.2,14.8,10.0,16.2,1.7,1.9,12.2,19.9,,,,,,,,,,-9999
