,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
112,Brandon Miller,23,CHO,SF,50,50,1509,.433,17.0,.508,.127,.195,.135,.051,.492,.484,.743,.410,.387,.381,.379,.463,.838,.061,44,.118,.438,0,0,,millebr02
113,Moses Moody,23,GSW,SG,59,48,1506,.441,19.2,.318,.119,.117,.054,.028,.682,.526,.766,.413,.310,.400,.402,.644,.959,.020,9,.344,.437,0,0,,moodymo01
114,Peyton Watson,23,DEN,SF,49,39,1502,.496,12.7,.662,.250,.256,.098,.058,.338,.537,.714,.441,.365,.484,.417,.656,.973,.109,49,.400,.500,0,0,,watsope01
115,John Collins,28,LAC,PF,54,45,1498,.560,11.5,.663,.283,.279,.073,.029,.337,.629,.810,.510,.500,.333,.423,.728,1.000,.144,67,.663,.466,0,0,,collijo01
116,Victor Wembanyama,22,SAS,C,51,42,1493,.506,13.2,.671,.306,.148,.130,.087,.329,.578,.767,.418,.411,.431,.360,.631,.878,.167,125,.066,.444,0,0,AS,wembavi01
117,Bobby Portis,30,MIL,PF,62,9,1490,.496,16.1,.605,.116,.192,.142,.155,.395,.520,.679,.512,.495,.433,.460,.640,.984,.010,6,.389,.515,0,0,,portibo01
118,LeBron James,41,LAL,SF,45,45,1490,.505,12.3,.716,.278,.231,.127,.080,.284,.582,.794,.491,.429,.351,.310,.500,.667,.099,66,.187,.263,0,0,AS,jamesle01
119,Isaac Okoro,25,CHI,SG,55,55,1480,.449,12.9,.520,.404,.114,.003,.000,.480,.563,.638,.311,.000,,.326,.716,.919,.030,12,.574,.358,0,0,,okorois01
120,P.J. Washington,27,DAL,PF,48,45,1478,.440,12.0,.657,.231,.343,.062,.020,.343,.509,.662,.440,.371,.364,.306,.569,.949,.080,41,.425,.354,0,0,,washipj01
121,Nique Clifford,23,SAC,SG,63,17,1476,.407,15.0,.606,.142,.259,.124,.082,.394,.467,.672,.436,.339,.405,.315,.625,.911,.040,13,.309,.309,0,0,,cliffni01
122,Maxime Raynaud,22,SAC,C,59,41,1473,.560,7.8,.906,.223,.530,.143,.010,.094,.594,.761,.579,.400,.400,.239,.825,.909,.074,34,.261,.083,0,0,,raynama01
123,Norman Powell,32,MIA,SG,49,49,1470,.473,15.4,.541,.201,.202,.093,.045,.459,.543,.654,.484,.500,.400,.390,.570,.863,.012,8,.157,.304,1,1,AS,powelno01
124,Isaiah Collier,21,UTA,PG,57,17,1464,.499,10.0,.804,.214,.449,.103,.037,.196,.554,.808,.482,.420,.333,.274,.329,.654,.025,12,.221,.238,0,0,,colliis01
125,Draymond Green,35,GSW,PF,54,54,1464,.418,17.5,.376,.201,.117,.045,.012,.624,.563,.716,.426,.333,.200,.331,.835,.988,.017,6,.327,.390,0,0,,greendr01
126,Ausar Thompson,23,DET,SF,57,56,1460,.522,5.7,.952,.407,.426,.097,.022,.048,.534,.670,.457,.356,.300,.273,.596,.833,.180,71,.455,.200,0,0,,thompau01
127,Jaren Jackson Jr.,26,2TM,C,48,48,1454,.476,12.6,.673,.147,.376,.146,.004,.327,.533,.585,.556,.438,.000,.357,.581,.976,.021,11,.226,.377,0,0,,jacksja02
127,Jaren Jackson Jr.,26,MEM,C,45,45,1382,.475,12.9,.672,.151,.366,.151,.004,.328,.531,.574,.559,.436,.000,.359,.565,.975,.022,11,.223,.388,0,0,,jacksja02
127,Jaren Jackson Jr.,26,UTA,C,3,3,72,.490,12.3,.694,.102,.510,.082,.000,.306,.559,.800,.520,.500,,.333,.789,1.000,.000,0,.267,.250,0,0,,jacksja02
128,Jamal Shead,23,TOR,PG,66,7,1451,.368,16.6,.472,.162,.208,.085,.017,.528,.415,.567,.337,.343,.286,.326,.309,.873,.005,2,.188,.244,0,0,,sheadja01
129,Tristan Da Silva,24,ORL,SF,60,23,1446,.451,16.2,.469,.158,.206,.076,.029,.531,.516,.707,.480,.278,.357,.393,.661,.949,.061,24,.385,.464,0,0,,dasiltr01
130,Lauri Markkanen,28,UTA,PF,42,42,1443,.477,13.9,.598,.210,.267,.073,.047,.402,.559,.734,.507,.441,.263,.355,.717,.948,.096,70,.207,.478,0,0,,markkla01
131,Shaedon Sharpe,22,POR,SG,48,42,1439,.456,14.1,.649,.244,.187,.104,.115,.351,.518,.734,.424,.364,.351,.340,.432,.545,.076,54,.108,.344,0,0,,sharpsh01
132,Brice Sensabaugh,22,UTA,SF,64,13,1437,.447,17.5,.465,.094,.191,.138,.042,.535,.553,.714,.594,.391,.536,.355,.657,.874,.039,21,.246,.477,0,0,,sensabr01
133,Josh Giddey,23,CHI,PG,45,42,1436,.459,13.1,.621,.268,.268,.052,.033,.379,.503,.612,.436,.500,.150,.386,.328,.822,.011,7,.133,.355,0,0,,giddejo01
134,Dennis Schröder,32,2TM,PG,56,16,1426,.401,14.3,.623,.128,.253,.158,.084,.377,.439,.586,.403,.391,.413,.338,.207,.757,.000,0,.159,.424,0,0,,schrode01
134,Dennis Schröder,32,SAC,PG,40,14,1056,.408,15.6,.607,.109,.237,.166,.095,.393,.449,.565,.420,.400,.475,.343,.235,.719,.000,0,.157,.462,0,0,,schrode01
134,Dennis Schröder,32,CLE,PG,16,2,370,.378,13.0,.677,.189,.307,.134,.047,.323,.407,.625,.359,.353,.000,.317,.114,.923,.000,0,.171,.286,0,0,,schrode01
135,Pelle Larsson,24,MIA,SG,56,43,1420,.491,11.6,.642,.335,.265,.035,.007,.358,.583,.715,.465,.333,.000,.325,.640,.960,.051,21,.273,.357,0,0,,larsspe01
136,Oso Ighodaro,23,PHO,PF,67,13,1411,.644,4.4,.996,.471,.428,.097,.000,.004,.646,.824,.504,.407,,.000,.754,,.324,82,.000,,0,0,,ighodos01
137,Sandro Mamukelashvili,26,TOR,C,64,12,1409,.516,13.7,.532,.337,.167,.026,.002,.468,.645,.756,.470,.308,1.000,.369,.749,1.000,.074,35,.227,.415,0,0,,mamuksa01
138,Jarrett Allen,27,CLE,C,51,51,1405,.636,5.2,.979,.445,.420,.089,.025,.021,.648,.813,.525,.488,.333,.100,.823,1.000,.254,112,.600,.000,0,0,,allenja01
139,Kel'el Ware,21,MIA,C,62,30,1404,.530,10.4,.662,.457,.174,.017,.015,.338,.603,.706,.366,.444,.375,.387,.682,1.000,.246,118,.287,.442,0,0,,wareke01
140,Kyshawn George,22,WAS,SF,48,48,1391,.438,16.5,.549,.135,.199,.137,.078,.451,.486,.731,.357,.494,.378,.381,.331,.818,.019,9,.192,.460,0,0,,georgky01
141,Jay Huff,27,IND,C,67,41,1386,.468,17.6,.377,.232,.133,.010,.002,.623,.727,.809,.591,.600,1.000,.311,.809,.990,.151,65,.129,.275,0,0,,huffja01
142,Tobias Harris,33,DET,PF,49,49,1382,.453,13.6,.644,.143,.293,.175,.033,.356,.518,.595,.500,.527,.294,.335,.486,.968,.044,20,.438,.370,0,0,,harrito02
143,Terance Mann,29,BRK,SG,56,46,1379,.464,13.6,.593,.249,.198,.108,.039,.407,.535,.687,.409,.472,.385,.360,.443,.857,.045,12,.419,.368,0,0,,mannte01
144,Vít Krejčí,25,2TM,PG,63,8,1374,.448,20.8,.233,.086,.095,.043,.010,.767,.643,.750,.600,.500,.750,.388,.873,.944,.012,4,.217,.343,0,0,,krejcvi01
144,Vít Krejčí,25,ATL,PG,46,8,1028,.464,21.1,.224,.088,.081,.045,.010,.776,.609,.704,.600,.429,.667,.423,.881,.960,.013,3,.205,.347,0,0,,krejcvi01
144,Vít Krejčí,25,POR,PG,17,0,346,.402,20.5,.259,.080,.134,.036,.009,.741,.724,.889,.600,.750,1.000,.289,.857,.875,.009,1,.253,.333,0,0,,krejcvi01
145,Ivica Zubac,28,2TM,C,45,44,1373,.613,4.8,1.000,.464,.459,.077,.000,.000,.613,.709,.529,.529,,,.662,,.200,78,,,0,0,,zubaciv01
145,Ivica Zubac,28,LAC,C,43,42,1328,.613,4.0,1.000,.473,.450,.077,.000,.000,.613,.714,.523,.515,,,.665,,.203,76,,,0,0,,zubaciv01
145,Ivica Zubac,28,IND,C,2,2,45,.600,5.5,1.000,.200,.733,.067,.000,.000,.600,.333,.636,1.000,,,.556,,.133,2,,,0,0,,zubaciv01
146,Anfernee Simons,26,2TM,SG,55,5,1372,.440,19.7,.415,.057,.153,.114,.091,.585,.517,.622,.586,.514,.339,.385,.216,.658,.003,2,.087,.424,0,0,,simonan01
146,Anfernee Simons,26,BOS,SG,49,0,1202,.440,19.5,.421,.051,.158,.116,.095,.579,.502,.655,.567,.485,.333,.395,.200,.662,.004,2,.088,.448,0,0,,simonan01
146,Anfernee Simons,26,CHI,SG,6,5,170,.438,19.9,.375,.100,.113,.100,.063,.625,.633,.500,.778,.750,.400,.320,.316,.625,.000,0,.080,.250,0,0,,simonan01
147,Cedric Coward,22,MEM,SG,52,37,1355,.465,13.8,.576,.249,.213,.099,.015,.424,.555,.707,.482,.396,.125,.344,.497,.885,.056,26,.260,.237,0,0,,cowarce01
148,Austin Reaves,27,LAL,SG,40,34,1349,.500,15.2,.571,.156,.267,.125,.023,.429,.590,.840,.534,.467,.214,.380,.315,.704,.005,3,.120,.452,0,0,,reaveau01
149,Tre Jones,26,CHI,PG,50,26,1348,.547,8.6,.789,.460,.247,.069,.014,.211,.609,.687,.491,.533,.500,.315,.471,.862,.002,1,.304,.464,0,0,,jonestr01
150,Dominick Barlow,22,PHI,PF,55,48,1334,.535,8.0,.781,.480,.237,.042,.021,.219,.608,.731,.481,.143,.143,.274,.652,1.000,.162,51,.740,.259,0,0,,barlodo01
151,Kelly Oubre Jr.,30,PHI,SF,41,36,1330,.463,14.3,.552,.227,.234,.072,.020,.448,.545,.663,.486,.364,.556,.361,.507,.946,.061,24,.317,.446,0,0,,oubreke01
152,Jock Landale,30,2TM,C,59,26,1323,.510,12.1,.650,.320,.250,.061,.018,.350,.577,.641,.557,.400,.333,.386,.694,.955,.059,23,.269,.413,0,0,,landajo01
152,Jock Landale,30,MEM,C,45,25,1060,.514,11.4,.668,.324,.262,.062,.021,.332,.581,.643,.559,.417,.375,.380,.689,.980,.051,16,.202,.385,0,0,,landajo01
152,Jock Landale,30,ATL,C,14,1,263,.495,12.7,.576,.303,.202,.061,.010,.424,.561,.633,.550,.333,.000,.405,.719,.882,.091,7,.476,.450,0,0,,landajo01
153,Mark Williams,24,PHO,C,56,52,1322,.633,3.4,.998,.612,.330,.051,.005,.002,.633,.718,.500,.524,.000,1.000,.688,1.000,.306,114,1.000,1.000,0,0,,willima07
154,Precious Achiuwa,26,SAC,C,59,43,1318,.525,7.7,.835,.376,.400,.052,.005,.165,.567,.686,.509,.227,.000,.314,.560,1.000,.132,48,.400,.286,0,0,,achiupr01
155,Luke Kennard,29,2TM,SG,62,1,1309,.548,17.8,.415,.112,.124,.121,.058,.585,.632,.615,.605,.690,.600,.488,.725,.980,.000,0,.315,.516,0,0,,kennalu01
155,Luke Kennard,29,ATL,SG,46,0,944,.538,18.7,.379,.108,.108,.100,.063,.621,.604,.538,.500,.792,.600,.497,.691,.986,.000,0,.329,.531,0,0,,kennalu01
155,Luke Kennard,29,LAL,SG,16,1,365,.570,16.8,.495,.121,.159,.168,.047,.505,.679,.769,.765,.556,.600,.463,.778,.960,.000,0,.278,.467,0,0,,kennalu01
156,Egor Dёmin,19,BRK,PG,52,45,1308,.399,20.6,.283,.109,.096,.036,.042,.717,.433,.551,.419,.438,.158,.385,.509,.823,.013,4,.152,.449,0,0,,demineg01
157,Herbert Jones,27,NOP,SF,45,45,1303,.382,15.7,.467,.246,.149,.041,.031,.533,.484,.604,.345,.313,.417,.293,.557,.918,.051,19,.298,.306,0,0,,joneshe01
158,Bennedict Mathurin,23,2TM,SF,42,25,1302,.432,14.2,.630,.198,.206,.116,.110,.370,.492,.658,.397,.462,.403,.332,.557,.710,.034,18,.154,.469,0,0,,mathube01
158,Bennedict Mathurin,23,IND,SF,28,24,891,.433,16.1,.564,.179,.170,.098,.117,.436,.480,.609,.393,.486,.405,.372,.557,.724,.025,8,.167,.538,0,0,,mathube01
158,Bennedict Mathurin,23,LAC,SF,14,1,411,.431,12.3,.745,.230,.270,.147,.098,.255,.507,.723,.400,.433,.400,.212,.558,.636,.049,10,.115,.167,0,0,,mathube01
159,Klay Thompson,35,DAL,SF,59,8,1293,.392,21.7,.279,.053,.040,.083,.104,.721,.423,.636,.360,.385,.369,.380,.824,.930,.000,0,.212,.427,0,0,,thompkl01
160,Brandon Williams,26,DAL,PG,58,15,1291,.472,10.9,.743,.289,.295,.107,.052,.257,.550,.706,.417,.508,.517,.246,.310,.943,.020,11,.261,.243,1,0,,willibr03
161,Grayson Allen,30,PHO,SG,43,26,1291,.406,20.2,.318,.095,.180,.034,.009,.682,.519,.768,.406,.400,.600,.354,.464,.782,.010,6,.107,.395,0,0,,allengr01
162,Isaiah Stewart,24,DET,C,55,13,1273,.541,9.8,.697,.352,.334,.008,.003,.303,.632,.757,.504,.667,.000,.333,.724,1.000,.130,46,.410,.417,0,0,,stewais01
163,Isaiah Joe,26,OKC,SG,58,9,1270,.441,21.8,.218,.088,.041,.052,.038,.782,.557,.615,.500,.565,.471,.409,.833,.951,.023,9,.236,.549,0,0,,joeis01
164,Ron Holland,20,DET,SF,62,5,1269,.434,11.8,.629,.281,.297,.036,.013,.371,.557,.688,.508,.125,.167,.224,.603,1.000,.101,40,.588,.216,0,0,,hollaro01
165,RJ Barrett,25,TOR,SF,42,42,1262,.489,12.0,.643,.316,.256,.065,.007,.357,.567,.699,.444,.421,.500,.348,.553,.973,.042,24,.224,.362,0,0,,barrerj01
166,Sidy Cissoko,21,POR,SF,60,24,1261,.406,16.5,.403,.211,.158,.017,.017,.597,.541,.719,.396,.000,.200,.315,.621,.947,.116,25,.431,.372,0,0,,cissosi01
167,Jordan Goodwin,27,PHO,PG,57,4,1256,.413,16.1,.470,.227,.136,.071,.035,.530,.475,.571,.444,.273,.375,.359,.427,.886,.011,4,.327,.350,0,0,,goodwjo01
168,Zaccharie Risacher,20,ATL,SF,52,45,1255,.444,15.0,.521,.303,.107,.041,.070,.479,.523,.626,.408,.368,.344,.359,.744,.949,.113,43,.323,.366,0,0,,risacza01
169,Tre Johnson,19,WAS,SG,52,34,1252,.429,18.2,.500,.071,.179,.190,.060,.500,.482,.667,.404,.467,.545,.377,.466,.808,.014,6,.170,.468,0,0,,johnstr03
170,Spencer Jones,24,DEN,SF,55,35,1251,.500,15.2,.433,.286,.126,.013,.008,.567,.631,.706,.467,.667,.500,.400,.723,1.000,.055,11,.622,.357,0,0,,jonessp01
171,Cameron Johnson,29,DEN,SF,41,41,1240,.457,16.3,.486,.214,.130,.069,.072,.514,.506,.730,.333,.292,.360,.410,.729,.959,.046,15,.309,.418,0,0,,johnsca02
172,Collin Sexton,27,2TM,SG,54,15,1239,.490,14.0,.617,.248,.235,.078,.056,.383,.551,.686,.469,.512,.355,.392,.378,.783,.000,0,.189,.450,0,0,,sextoco01
172,Collin Sexton,27,CHO,SG,42,12,938,.488,13.3,.650,.244,.249,.089,.068,.350,.539,.713,.437,.514,.321,.393,.372,.789,.000,0,.145,.571,0,0,,sextoco01
172,Collin Sexton,27,CHI,SG,12,3,301,.496,14.7,.518,.259,.194,.043,.022,.482,.597,.611,.593,.500,.667,.388,.395,.769,.000,0,.284,.316,0,0,,sextoco01
173,Zach LaVine,30,SAC,SG,39,37,1224,.479,16.7,.536,.157,.185,.062,.132,.464,.556,.767,.525,.500,.375,.390,.577,.768,.055,28,.197,.480,0,0,,lavinza01
174,Stephen Curry,37,GSW,PG,39,39,1222,.468,19.5,.398,.114,.152,.065,.067,.602,.584,.706,.575,.458,.520,.391,.514,.703,.001,0,.067,.533,0,0,AS,curryst01
175,Dylan Harper,19,SAS,SG,55,0,1219,.487,10.4,.732,.417,.176,.092,.047,.268,.559,.657,.433,.404,.458,.292,.364,.925,.043,21,.226,.355,0,0,,harpedy01
176,Kevin Huerter,27,2TM,SF,55,11,1218,.447,16.1,.447,.215,.181,.038,.013,.553,.629,.822,.435,.611,.167,.300,.682,.936,.021,10,.246,.344,0,0,,huertke01
176,Kevin Huerter,27,CHI,SF,44,11,1037,.455,16.1,.448,.223,.173,.042,.010,.552,.630,.800,.443,.647,.000,.314,.675,.943,.020,8,.224,.380,0,0,,huertke01
176,Kevin Huerter,27,DET,SG,11,0,181,.394,16.2,.439,.167,.227,.015,.030,.561,.621,1.000,.400,.000,.500,.216,.722,.875,.030,2,.378,.214,0,0,,huertke01
177,Alex Sarr,20,WAS,C,44,44,1217,.499,10.2,.783,.268,.375,.100,.041,.217,.542,.780,.435,.393,.320,.346,.673,.913,.117,67,.075,.400,0,0,,sarral01
178,Aaron Wiggins,27,OKC,SG,52,18,1213,.430,15.0,.493,.243,.191,.046,.013,.507,.511,.607,.398,.476,.500,.352,.578,.854,.035,15,.279,.354,0,0,,wiggiaa01
179,Ben Sheppard,24,IND,SG,56,19,1210,.418,17.6,.386,.175,.131,.050,.030,.614,.531,.661,.409,.529,.300,.348,.754,.986,.015,5,.362,.373,0,0,,sheppbe01
180,Javonte Green,32,DET,SG,66,5,1199,.439,16.1,.424,.219,.173,.015,.018,.576,.538,.653,.458,.000,.333,.365,.782,.972,.091,26,.386,.526,0,0,,greenja02
181,Santi Aldama,25,MEM,PF,43,11,1198,.479,14.1,.580,.206,.263,.082,.029,.420,.572,.714,.520,.513,.214,.350,.804,.986,.044,21,.245,.551,0,0,,aldamsa01
182,Kevin Porter Jr.,25,MIL,PG,36,34,1198,.461,12.9,.718,.251,.208,.130,.130,.282,.513,.680,.406,.413,.460,.328,.235,.644,.066,27,.197,.296,0,0,,porteke02
183,Ryan Kalkbrenner,24,CHO,C,54,30,1197,.743,2.6,.988,.747,.229,.004,.008,.012,.752,.814,.571,.000,.500,.000,.720,,.449,103,.000,,0,0,,kalkbry01
184,Brook Lopez,37,LAC,C,59,24,1196,.418,19.1,.385,.095,.175,.095,.020,.615,.519,.684,.514,.447,.125,.354,.600,1.000,.025,10,.146,.389,0,0,,lopezbr01
185,Bilal Coulibaly,21,WAS,SG,45,45,1195,.409,12.9,.596,.298,.232,.044,.022,.404,.483,.678,.277,.278,.444,.299,.462,.898,.148,49,.366,.417,0,0,,coulibi01
186,Khris Middleton,34,2TM,SF,49,44,1190,.438,15.9,.674,.092,.172,.234,.176,.326,.477,.683,.351,.495,.468,.356,.417,.827,.000,0,.295,.419,0,0,,middlkh01
186,Khris Middleton,34,WAS,SF,34,34,827,.433,15.7,.670,.117,.160,.213,.180,.330,.483,.657,.354,.484,.481,.333,.392,.848,.000,0,.293,.379,0,0,,middlkh01
186,Khris Middleton,34,DAL,SF,15,10,363,.446,16.2,.682,.041,.196,.277,.169,.318,.465,.833,.345,.512,.440,.404,.468,.789,.000,0,.298,.500,0,0,,middlkh01
187,Luke Kornet,30,SAS,C,56,23,1189,.646,2.1,1.000,.817,.153,.026,.004,.000,.646,.701,.400,.500,.000,,.757,,.319,70,,,0,0,,kornelu01
188,Ajay Mitchell,23,OKC,SG,45,10,1188,.492,12.0,.701,.212,.344,.104,.041,.299,.553,.716,.476,.600,.250,.347,.321,.760,.008,4,.285,.415,0,0,,mitchaj01
189,Jimmy Butler,36,GSW,SF,38,38,1182,.519,9.3,.816,.342,.303,.121,.050,.184,.552,.741,.479,.375,.130,.376,.505,.719,.067,30,.435,.432,0,0,,butleji01
190,Josh Okogie,27,HOU,SG,63,29,1177,.435,15.2,.442,.238,.173,.012,.019,.558,.478,.581,.378,.333,.200,.400,.600,1.000,.112,22,.641,.366,0,0,,okogijo01
191,De'Andre Hunter,28,2TM,SF,45,25,1176,.415,17.0,.509,.134,.176,.136,.064,.491,.522,.687,.432,.500,.469,.305,.662,.853,.034,14,.211,.365,0,0,,huntede01
191,De'Andre Hunter,28,CLE,SF,43,23,1125,.423,16.7,.508,.139,.170,.137,.062,.492,.535,.687,.463,.515,.433,.308,.664,.849,.035,14,.211,.360,0,0,,huntede01
191,De'Andre Hunter,28,SAC,SF,2,2,51,.211,17.2,.526,.000,.316,.105,.105,.474,.200,,.000,.000,1.000,.222,.500,1.000,.000,0,.222,.500,0,0,,huntede01
192,Malik Monk,27,SAC,SG,53,0,1165,.437,17.0,.508,.104,.222,.128,.055,.492,.477,.719,.402,.457,.367,.396,.504,.738,.053,28,.144,.359,0,0,,monkma01
193,Dean Wade,29,CLE,PF,52,31,1165,.432,18.7,.280,.214,.037,.016,.012,.720,.603,.615,.556,.500,.667,.366,.756,.984,.045,9,.366,.406,0,0,,wadede01
194,Gary Trent Jr.,27,MIL,SG,55,17,1161,.380,21.6,.265,.040,.086,.064,.075,.735,.455,.600,.406,.458,.429,.353,.578,.928,.000,0,.284,.436,0,0,,trentga02
195,Day'Ron Sharpe,24,BRK,C,62,7,1160,.601,5.2,.890,.587,.292,.003,.008,.110,.647,.751,.462,.000,.000,.231,.537,1.000,.163,50,.333,.385,0,0,,sharpda01
196,Jose Alvarado,27,2TM,PG,57,0,1160,.409,18.6,.325,.133,.138,.046,.008,.675,.550,.714,.451,.471,.000,.341,.515,.741,.000,0,.273,.368,0,0,,alvarjo01
196,Jose Alvarado,27,NOP,PG,41,0,896,.418,19.2,.311,.118,.146,.039,.007,.689,.540,.697,.439,.545,.000,.363,.468,.714,.000,0,.285,.345,0,0,,alvarjo01
196,Jose Alvarado,27,NYK,PG,16,0,264,.382,18.0,.371,.180,.112,.067,.011,.629,.576,.750,.500,.333,.000,.268,.632,.867,.000,0,.232,.462,0,0,,alvarjo01
197,Nicolas Batum,37,LAC,PF,63,5,1157,.400,24.1,.043,.010,.005,.010,.019,.957,.444,.500,.000,.500,.500,.398,.750,1.000,.000,0,.443,.472,0,0,,batumni01
198,Cody Williams,21,UTA,SG,53,27,1153,.470,10.2,.705,.298,.348,.033,.026,.295,.573,.711,.505,.400,.125,.225,.762,1.000,.195,48,.697,.274,0,0,,willico04
199,Tari Eason,24,HOU,PF,44,30,1152,.428,14.6,.537,.220,.194,.086,.037,.463,.465,.649,.422,.216,.188,.384,.449,.987,.051,19,.480,.484,1,1,,easonta01
200,Ryan Dunn,23,PHO,SF,59,14,1145,.435,13.3,.532,.321,.172,.029,.010,.468,.530,.646,.358,.333,.333,.326,.644,1.000,.123,30,.674,.340,0,0,,dunnry01
201,Kobe Sanders,23,LAC,SG,55,16,1140,.456,16.7,.508,.152,.152,.126,.078,.492,.510,.787,.426,.359,.375,.401,.550,.967,.058,18,.309,.468,0,0,,sandeko01
202,Aaron Nesmith,26,IND,SF,38,35,1128,.387,17.2,.463,.148,.164,.093,.058,.537,.430,.500,.423,.475,.200,.349,.802,.963,.030,7,.263,.361,0,0,,nesmiaa01
203,Svi Mykhailiuk,28,UTA,SF,48,41,1123,.478,18.1,.348,.130,.159,.038,.021,.652,.619,.705,.574,.538,.571,.403,.658,.921,.024,5,.407,.467,0,0,,mykhasv01
204,Justin Champagnie,24,WAS,SF,58,15,1117,.510,10.9,.640,.421,.202,.017,.000,.360,.615,.750,.370,.167,,.323,.535,.929,.114,35,.346,.289,0,0,,champju01
205,Keon Ellis,26,2TM,SG,58,6,1117,.432,19.8,.312,.106,.096,.082,.027,.688,.549,.871,.536,.292,.125,.378,.700,.961,.048,13,.303,.393,0,0,,elliske01
205,Keon Ellis,26,SAC,SG,43,5,758,.397,20.1,.311,.091,.096,.096,.029,.689,.462,.789,.550,.200,.000,.368,.700,.943,.048,9,.292,.381,0,0,,elliske01
205,Keon Ellis,26,CLE,SG,15,1,359,.518,19.4,.313,.145,.096,.048,.024,.687,.769,1.000,.500,.750,.500,.404,.700,1.000,.048,4,.333,.421,0,0,,elliske01
206,Jalen Suggs,24,ORL,PG,42,41,1116,.443,17.4,.460,.167,.136,.106,.051,.540,.571,.709,.547,.420,.500,.333,.379,.812,.032,12,.169,.326,0,0,,suggsja01
207,Patrick Williams,24,CHI,PF,57,4,1114,.381,16.9,.439,.185,.191,.049,.014,.561,.398,.515,.271,.444,.400,.369,.391,.908,.030,6,.184,.395,0,0,,willipa01
208,Will Richard,23,GSW,SG,56,17,1104,.470,16.9,.396,.225,.114,.034,.023,.604,.669,.836,.471,.200,.714,.339,.646,.967,.040,12,.433,.372,0,0,,richawi02
209,Jrue Holiday,35,POR,PG,38,36,1102,.472,16.1,.512,.151,.219,.104,.038,.488,.553,.737,.500,.385,.579,.388,.317,.505,.006,3,.135,.424,0,0,,holidjr01
210,Dru Smith,28,MIA,SG,64,1,1092,.415,12.9,.601,.254,.293,.048,.006,.399,.487,.570,.418,.467,.500,.306,.451,.921,.000,0,.371,.326,0,0,,smithdr01
211,Walter Clayton,22,2TM,PG,56,2,1089,.384,16.1,.477,.124,.237,.061,.055,.523,.491,.558,.451,.524,.474,.287,.506,.750,.012,3,.110,.200,0,0,,claytwa01
211,Walter Clayton,22,UTA,PG,45,0,811,.398,17.6,.441,.094,.230,.066,.051,.559,.513,.458,.492,.647,.538,.308,.448,.705,.008,2,.098,.143,0,0,,claytwa01
211,Walter Clayton,22,MEM,PG,11,2,278,.344,14.6,.578,.211,.256,.044,.067,.422,.442,.684,.348,.000,.333,.211,.652,1.000,.022,1,.158,.333,0,0,,claytwa01
212,Kentavious Caldwell-Pope,32,MEM,SG,51,14,1088,.410,17.5,.525,.101,.161,.090,.172,.475,.495,.649,.475,.455,.444,.316,.726,.873,.016,4,.155,.333,0,0,,caldwke01
213,Sam Merrill,29,CLE,SG,42,30,1086,.470,21.9,.206,.082,.042,.045,.037,.794,.564,.871,.500,.294,.286,.445,.841,.940,.000,0,.166,.560,0,0,,merrisa01
214,Quinten Post,25,GSW,PF,63,33,1084,.434,17.9,.369,.138,.172,.032,.027,.631,.612,.789,.507,.462,.545,.331,.688,.988,.044,18,.312,.296,0,0,,postqu01
215,Jusuf Nurkić,31,UTA,C,41,36,1083,.503,9.1,.802,.263,.472,.061,.006,.198,.540,.574,.515,.591,.500,.352,.710,1.000,.028,8,.042,.667,0,0,,nurkiju01
216,Will Riley,19,WAS,SF,57,6,1082,.434,14.6,.604,.190,.256,.107,.051,.396,.504,.747,.446,.405,.100,.327,.483,.804,.053,20,.179,.286,0,0,,rileywi01
217,Danny Wolf,21,BRK,PF,52,10,1078,.407,14.4,.515,.269,.211,.018,.018,.485,.488,.598,.393,.143,.286,.321,.590,.935,.035,12,.249,.333,0,0,,wolfda01
218,Jaylin Williams,23,OKC,PF,52,11,1066,.419,20.0,.285,.121,.094,.044,.027,.715,.541,.639,.429,.615,.375,.371,.913,.987,.037,8,.211,.378,0,0,,willija07
219,Ja'Kobe Walter,21,TOR,SG,56,11,1063,.416,17.5,.355,.218,.099,.034,.003,.645,.529,.594,.517,.200,.000,.354,.727,1.000,.065,16,.439,.446,0,0,,walteja01
220,Ziaire Williams,24,BRK,SF,46,5,1056,.418,17.7,.345,.205,.102,.032,.006,.655,.585,.729,.400,.364,.000,.330,.681,.973,.076,25,.357,.338,0,0,,willizi02
221,Collin Murray-Boyles,20,TOR,PF,47,22,1046,.557,7.1,.823,.594,.170,.018,.041,.177,.601,.696,.413,.200,.182,.354,.821,1.000,.159,35,.271,.231,0,0,,murraco01
222,Baylor Scheierman,25,BOS,SG,61,17,1040,.460,20.6,.277,.081,.085,.089,.021,.723,.646,.737,.500,.667,.800,.388,.667,.985,.017,4,.365,.532,0,0,,scheiba01
