,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
30,James Harden,36,2TM,PG,57,57,1989,.432,16.8,.490,.136,.235,.084,.035,.510,.500,.680,.432,.468,.333,.366,.117,.406,.000,0,.054,.269,0,0,,hardeja01
30,James Harden,36,LAC,PG,44,44,1559,.419,16.8,.495,.137,.233,.086,.039,.505,.492,.689,.417,.455,.333,.347,.122,.393,.000,0,.057,.182,0,0,,hardeja01
30,James Harden,36,CLE,PG,13,13,430,.491,16.8,.467,.132,.240,.078,.018,.533,.538,.636,.500,.538,.333,.449,.095,.450,.000,0,.045,.750,0,0,,hardeja01
31,Donovan Mitchell,29,CLE,SG,59,59,1970,.483,16.0,.546,.186,.183,.107,.070,.454,.580,.682,.555,.547,.429,.365,.258,.618,.016,15,.119,.400,0,0,AS,mitchdo01
32,Karl-Anthony Towns,30,NYK,C,63,63,1969,.493,11.0,.690,.397,.227,.029,.037,.310,.547,.621,.475,.480,.250,.370,.565,.950,.075,58,.052,.500,0,0,AS,townska01
33,Miles Bridges,27,CHO,PF,62,62,1969,.445,14.1,.559,.219,.282,.041,.016,.441,.538,.708,.445,.361,.286,.326,.525,.929,.067,51,.275,.358,1,1,,bridgmi02
34,Royce O'Neale,32,PHO,SF,67,62,1959,.415,22.9,.175,.061,.088,.023,.004,.825,.480,.676,.347,.462,.500,.401,.596,.941,.007,4,.163,.533,1,1,,onealro01
35,Alperen Şengün,23,HOU,C,58,58,1938,.503,8.6,.886,.275,.417,.151,.044,.114,.532,.718,.479,.420,.250,.279,.407,.828,.073,57,.067,.429,0,0,AS,sengual01
36,Paolo Banchero,23,ORL,PF,55,55,1922,.463,11.2,.762,.283,.262,.155,.062,.238,.511,.713,.427,.336,.382,.308,.470,.785,.064,49,.175,.432,0,0,,banchpa01
37,Luka Dončić,26,LAL,PG,54,54,1918,.475,17.8,.527,.077,.200,.184,.066,.473,.573,.837,.567,.534,.392,.367,.210,.404,.003,3,.058,.242,0,0,AS,doncilu01
38,Matas Buzelis,21,CHI,PF,66,66,1908,.467,14.3,.497,.322,.153,.015,.008,.503,.574,.650,.451,.167,.667,.361,.566,.931,.093,66,.259,.365,0,0,,buzelma01
39,Collin Gillespie,26,PHO,PG,66,47,1905,.431,21.1,.325,.051,.095,.135,.044,.675,.454,.556,.448,.432,.419,.420,.365,.735,.000,0,.151,.486,0,0,,gilleco01
40,Onyeka Okongwu,25,ATL,C,60,49,1882,.487,13.7,.562,.226,.283,.049,.004,.438,.564,.703,.454,.583,.333,.388,.746,1.000,.067,44,.275,.398,0,0,,okongon01
41,Saddiq Bey,26,NOP,SF,61,53,1881,.448,13.6,.571,.282,.194,.069,.025,.429,.527,.640,.458,.345,.300,.342,.467,.915,.054,43,.316,.352,1,0,,beysa01
42,Naji Marshall,28,DAL,SF,64,37,1880,.524,11.4,.732,.212,.360,.136,.024,.268,.607,.776,.572,.500,.250,.298,.497,.944,.013,9,.481,.333,0,0,,marshna01
43,Bam Adebayo,28,MIA,C,59,59,1872,.444,13.1,.663,.211,.254,.150,.049,.337,.506,.663,.447,.446,.311,.324,.621,.950,.077,62,.330,.330,0,0,,adebaba01
