Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,VALUE,AAV,ACE
160,Jabari Smith Jr.,22,HOU,PF,67,67,2347,0.569,17.9,3,2.7,5.8,0.118,-0.5,-0.1,-0.6,0.8,-0.039359886,15,15000000
227,Moses Moody,23,GSW,SG,60,49,1540,0.6,18.2,1.7,1.5,3.2,0.099,0.2,-0.3,-0.1,0.7,-0.043447283,14.86449864,14864498.64
187,Jalen Smith,25,CHI,C,52,20,1089,0.609,19.2,1.5,1.2,2.7,0.118,0.3,-0.9,-0.6,0.4,-0.044196669,14.72899729,14728997.29
1,Clint Capela,31,HOU,C,64,2,795,0.537,13.7,1.1,1.4,2.5,0.149,-0.6,0.8,0.2,0.5,-0.044244576,14.59349593,14593495.93
219,Jay Huff,27,IND,C,72,42,1494,0.594,17.9,1.2,1.6,2.7,0.088,-0.9,1.1,0.3,0.9,-0.051116441,14.45799458,14457994.58
203,Luke Kennard,29,2TM,SG,68,1,1421,0.706,13.1,2.7,1.1,3.7,0.126,0.1,0,0.1,0.8,-0.060936162,14.32249322,14322493.22
132,Jordan Walsh,21,BOS,PF,58,20,998,0.636,11.9,1.6,1.6,3.2,0.155,-1.4,1.4,0.1,0.5,-0.064482087,14.18699187,14186991.87
7,Deandre Ayton,27,LAL,C,63,63,1738,0.675,16.5,3.4,1.9,5.3,0.145,-0.1,-0.9,-1,0.4,-0.070231577,14.05149051,14051490.51
244,Royce O'Neale,32,PHO,SF,70,65,2035,0.593,14.4,1.6,2.5,4.1,0.096,-0.3,0.9,0.6,1.3,-0.070621332,13.91598916,13915989.16
218,Harrison Barnes,33,SAS,PF,67,52,1767,0.603,14.9,2.3,1.9,4.2,0.114,-0.1,0.1,0,0.9,-0.080152991,13.7804878,13780487.8
121,Cedric Coward,22,MEM,SG,54,39,1403,0.579,21.3,1.1,1.1,2.2,0.076,0,-0.5,-0.4,0.6,-0.091470661,13.64498645,13644986.45
133,CJ McCollum,34,2TM,PG,67,51,1985,0.568,25.7,1.7,0.7,2.4,0.059,1.3,-2,-0.7,0.6,-0.097724831,13.50948509,13509485.09
105,Andrew Nembhard,26,IND,PG,54,54,1684,0.565,23.9,1.9,0.6,2.5,0.072,1.1,-2.1,-0.9,0.5,-0.100771759,13.37398374,13373983.74
79,Daniss Jenkins,24,DET,PG,61,11,1118,0.519,21.1,0.6,1.6,2.2,0.093,-1.1,0.4,-0.7,0.4,-0.113614195,13.23848238,13238482.38
166,Gui Santos,23,GSW,PF,61,24,1188,0.604,17.9,1,1.4,2.4,0.095,-0.9,0.6,-0.3,0.5,-0.118915438,13.10298103,13102981.03
235,Baylor Scheierman,25,BOS,SG,66,17,1167,0.604,11.1,1.5,1.5,3,0.124,-1.3,1.5,0.2,0.7,-0.121020201,12.96747967,12967479.67
142,Tyler Kolek,24,NYK,PG,58,1,688,0.527,18.4,0.5,0.8,1.3,0.088,-1,0.2,-0.8,0.2,-0.140725968,12.83197832,12831978.32
31,Derik Queen,21,NOP,C,72,45,1765,0.553,21.4,0.6,2,2.6,0.071,-1.3,0.8,-0.5,0.7,-0.163429425,12.69647696,12696476.96
103,Anthony Black,22,ORL,PG,60,40,1841,0.552,22,0.4,2.2,2.6,0.068,-1,0.6,-0.5,0.7,-0.163700535,12.56097561,12560975.61
232,Dean Wade,29,CLE,PF,57,36,1279,0.571,10,1.6,1.4,3,0.112,-0.9,1,0.1,0.7,-0.168170773,12.42547425,12425474.25
15,Isaiah Jackson,24,2TM,C,53,14,871,0.645,16.3,1.3,1.1,2.4,0.134,-2,0.6,-1.4,0.1,-0.179281715,12.2899729,12289972.9
9,Oso Ighodaro,23,PHO,PF,73,19,1603,0.634,12.2,1.8,2.2,4,0.12,-2.3,2.2,-0.1,0.8,-0.187802242,12.15447154,12154471.54
85,Pelle Larsson,24,MIA,SG,61,48,1571,0.602,16.4,2.2,1.5,3.7,0.112,-1.1,0.2,-0.9,0.5,-0.188446372,12.01897019,12018970.19
50,Andre Drummond,32,PHI,C,54,24,1079,0.543,15,1.2,1.6,2.9,0.127,-0.6,-0.4,-1,0.3,-0.191127806,11.88346883,11883468.83
212,Mohamed Diawara,20,NYK,SF,62,6,555,0.569,17.2,0.3,0.6,0.9,0.077,-1.4,0.1,-1.3,0.1,-0.191782424,11.74796748,11747967.48
169,Matas Buzelis,21,CHI,PF,70,70,2039,0.592,22.6,0.7,2,2.7,0.063,-0.4,-0.3,-0.7,0.6,-0.197717727,11.61246612,11612466.12
117,VJ Edgecombe,20,PHI,SG,65,65,2276,0.535,20.3,1.4,2.1,3.6,0.075,-0.5,-0.2,-0.8,0.7,-0.206045037,11.47696477,11476964.77
224,Ja'Kobe Walter,21,TOR,SG,61,12,1173,0.604,14.2,1.4,1.4,2.9,0.117,-1.6,1,-0.6,0.4,-0.213146151,11.34146341,11341463.41
181,Tristan Da Silva,24,ORL,SF,67,30,1650,0.574,16.2,1.1,1.8,2.9,0.085,-0.6,0.2,-0.4,0.7,-0.219595787,11.20596206,11205962.06
222,Quinten Post,25,GSW,PF,66,35,1155,0.561,18.8,0.7,1.3,2,0.081,-1,-0.1,-1.1,0.3,-0.226282844,11.0704607,11070460.7
189,Kevin Huerter,27,2TM,SF,59,11,1298,0.547,18.7,0.7,1.3,2,0.074,-1.2,0.4,-0.8,0.4,-0.22795745,10.93495935,10934959.35
21,Dwight Powell,34,DAL,C,53,8,713,0.704,8.9,1.2,0.8,2.1,0.139,-2.8,1.5,-1.4,0.1,-0.236744032,10.79945799,10799457.99
194,Justin Edwards,22,PHI,SF,55,12,878,0.577,15.9,0.8,0.8,1.6,0.087,-1.6,0.6,-1,0.2,-0.238604314,10.66395664,10663956.64
153,Caris LeVert,31,DET,SG,51,0,991,0.516,18.2,-0.2,1.5,1.3,0.062,-2.1,1.3,-0.8,0.3,-0.258530204,10.52845528,10528455.28
162,Aaron Wiggins,27,OKC,SG,57,19,1289,0.537,20,-0.5,2.4,1.9,0.071,-1.6,0.7,-0.9,0.3,-0.260562726,10.39295393,10392953.93
119,Davion Mitchell,27,MIA,PG,61,61,1727,0.574,13.4,2.3,1.7,3.9,0.11,-1.4,0.8,-0.6,0.6,-0.261436879,10.25745257,10257452.57
81,Jonathan Isaac,28,ORL,PF,52,0,521,0.498,12.4,0.1,0.8,0.9,0.084,-2.8,1.3,-1.6,0.1,-0.265503479,10.12195122,10121951.22
130,Noah Penda,21,ORL,SF,53,2,719,0.518,15.1,0.2,0.9,1.1,0.076,-1.7,0.5,-1.2,0.1,-0.27120056,9.991869919,9991869.919
186,Jared McCain,21,2TM,SG,57,1,1012,0.557,20.6,0.4,1,1.4,0.066,-1.1,-0.7,-1.8,0.1,-0.28624715,9.910569106,9910569.106
204,Myles Turner,29,MIL,C,66,66,1789,0.586,18.6,1.1,1.7,2.8,0.074,-0.9,-0.1,-1,0.4,-0.296037167,9.829268293,9829268.293
200,Corey Kispert,26,2TM,SF,51,9,986,0.604,18.4,1.2,0.4,1.6,0.078,-0.1,-2,-2.1,0,-0.299239268,9.74796748,9747967.48
138,Russell Westbrook,37,SAC,SF,64,58,1853,0.528,25.9,-0.7,0.9,0.3,0.008,0.6,-1.1,-0.5,0.7,-0.299273852,9.666666667,9666666.667
221,Guerschon Yabusele,30,2TM,C,59,12,808,0.55,15.8,0.4,0.9,1.3,0.076,-1.4,-0.2,-1.6,0.1,-0.301586026,9.585365854,9585365.854
159,Malik Monk,27,SAC,SG,56,1,1240,0.563,24.4,0.6,0.1,0.8,0.03,0.7,-2.2,-1.6,0.1,-0.305851618,9.504065041,9504065.041
173,Quentin Grimes,25,PHI,SG,65,18,1956,0.589,19.2,1.8,1.4,3.2,0.079,-0.7,-0.7,-1.4,0.3,-0.319473971,9.422764228,9422764.228
97,Pat Spencer,29,GSW,PG,56,12,987,0.522,18.7,0.5,0.8,1.4,0.066,-1.5,-0.3,-1.8,0,-0.323163284,9.341463415,9341463.415
35,Precious Achiuwa,26,SAC,C,64,48,1480,0.565,16.6,1.6,1,2.7,0.087,-0.6,-0.8,-1.4,0.2,-0.327479972,9.260162602,9260162.602
237,Klay Thompson,35,DAL,SF,62,8,1369,0.547,22.5,-0.2,0.9,0.7,0.024,0.2,-1.5,-1.2,0.3,-0.337404734,9.178861789,9178861.789
95,Nae'Qwan Tomlin,25,CLE,PF,56,2,858,0.531,15.5,0.8,1,1.8,0.1,-2.6,0.4,-2.2,0,-0.340120192,9.097560976,9097560.976
226,Jose Alvarado,27,2TM,PG,62,1,1240,0.542,16.1,1,1,2,0.078,-1.5,0.2,-1.3,0.2,-0.342237078,9.016260163,9016260.163
228,Keon Ellis,26,2TM,SG,63,7,1242,0.572,12.9,0.6,1.1,1.7,0.064,-1.9,1.5,-0.3,0.5,-0.342276792,8.93495935,8934959.35
84,Kyle Filipowski,22,UTA,C,70,34,1606,0.581,19.3,1.3,1.2,2.5,0.074,-1.1,-0.5,-1.6,0.2,-0.344488559,8.853658537,8853658.537
41,Dominick Barlow,22,PHI,PF,61,54,1472,0.595,13.3,1.8,1.4,3.3,0.107,-1.4,0.2,-1.2,0.3,-0.349782913,8.772357724,8772357.724
147,Ryan Dunn,23,PHO,SF,63,14,1232,0.529,13.8,0.7,1.6,2.3,0.089,-2,1.1,-1,0.3,-0.358589962,8.691056911,8691056.911
134,Jabari Walker,23,PHI,PF,59,6,735,0.557,15.1,0.8,0.7,1.5,0.1,-2.2,-0.6,-2.8,-0.2,-0.362236674,8.609756098,8609756.098
128,Mouhamed Gueye,23,ATL,PF,68,7,1060,0.544,12.7,0.7,1.6,2.4,0.107,-2.7,1.2,-1.5,0.1,-0.365651501,8.528455285,8528455.285
214,Ziaire Williams,24,BRK,SF,52,10,1187,0.589,18.1,0.7,0.9,1.6,0.065,-1.9,0.2,-1.7,0.1,-0.367864866,8.447154472,8447154.472
10,Yves Missi,21,NOP,C,60,10,1151,0.551,12.7,1.4,1,2.4,0.101,-1.4,-0.3,-1.6,0.1,-0.375664947,8.365853659,8365853.659
146,Jake LaRavia,24,LAL,PF,72,34,1775,0.571,14.9,1.7,1.7,3.4,0.092,-1.4,0.2,-1.1,0.4,-0.380758081,8.284552846,8284552.846
92,Ron Holland,20,DET,SF,67,5,1344,0.529,18.9,0,2.5,2.5,0.09,-3.2,1.3,-1.9,0,-0.391795247,8.203252033,8203252.033
172,Taylor Hendricks,22,2TM,PF,53,11,983,0.575,16.1,0.5,0.7,1.2,0.06,-1,-0.9,-1.9,0,-0.393394321,8.12195122,8121951.22
208,Will Richard,23,GSW,SG,62,19,1262,0.605,13.6,1.1,1.4,2.5,0.095,-2.4,1,-1.4,0.2,-0.399494729,8.040650407,8040650.407
241,Vít Krejčí,25,2TM,PG,64,8,1387,0.611,14.6,1.5,1.2,2.8,0.096,-1.5,-0.1,-1.6,0.1,-0.405215927,7.959349593,7959349.593
207,Brook Lopez,37,LAC,C,65,30,1358,0.546,17,0.2,1.4,1.6,0.056,-1.7,0.3,-1.3,0.2,-0.415981518,7.87804878,7878048.78
190,Josh Okogie,27,HOU,SG,68,29,1223,0.553,11.3,1,1.4,2.4,0.092,-2.5,1.1,-1.4,0.2,-0.422124722,7.796747967,7796747.967
131,Kris Dunn,31,LAC,PG,72,63,1983,0.589,12.7,1.8,1.9,3.7,0.089,-2.1,1.3,-0.8,0.6,-0.422547513,7.715447154,7715447.154
122,Jaylen Clark,24,MIN,SG,61,0,761,0.53,13.2,0.5,0.9,1.4,0.087,-3.4,0.7,-2.7,-0.1,-0.427243649,7.634146341,7634146.341
234,Egor Dёmin,19,BRK,PG,52,45,1308,0.561,18.8,0.2,0.7,0.9,0.034,-0.8,-0.8,-1.6,0.1,-0.432958737,7.552845528,7552845.528
143,Hugo González,19,BOS,SF,66,3,1009,0.547,11.8,0.4,1.6,2,0.094,-3.4,1.6,-1.9,0,-0.441483303,7.471544715,7471544.715
118,Jarred Vanderbilt,26,LAL,PF,56,3,993,0.542,12.3,0.4,1.2,1.6,0.077,-2.5,0.7,-1.8,0,-0.445670486,7.390243902,7390243.902
86,P.J. Washington,27,DAL,PF,53,50,1648,0.534,20.3,-0.3,2,1.6,0.047,-1.7,0.2,-1.5,0.2,-0.447235586,7.308943089,7308943.089
127,Jordan Clarkson,33,NYK,SG,63,1,1144,0.553,21.2,0.8,1,1.7,0.073,-1.7,-1.5,-3.2,-0.4,-0.456125394,7.227642276,7227642.276
198,Carter Bryant,20,SAS,PF,61,0,660,0.5,17,-0.2,1,0.8,0.057,-3.7,-0.2,-3.9,-0.3,-0.469559883,7.146341463,7146341.463
37,Isaiah Collier,21,UTA,PG,59,19,1517,0.567,20.5,1.5,0.3,1.8,0.057,-0.6,-1.9,-2.5,-0.2,-0.471681536,7.06504065,7065040.65
210,Max Christie,22,DAL,SG,67,58,1974,0.608,16.6,1.3,1.3,2.6,0.063,-0.8,-0.5,-1.4,0.3,-0.477205557,6.983739837,6983739.837
175,Kobe Brown,26,2TM,PF,52,4,720,0.581,15.6,0.4,0.4,0.8,0.053,-1.9,-1.8,-3.6,-0.3,-0.483535794,6.902439024,6902439.024
82,Kyle Kuzma,30,MIL,PF,65,40,1715,0.581,21.6,1,1,2,0.056,-1,-1.3,-2.3,-0.2,-0.491311045,6.821138211,6821138.211
247,Nicolas Batum,37,LAC,PF,66,6,1210,0.597,9.5,0.4,1.1,1.5,0.06,-1.9,0.6,-1.3,0.2,-0.500483355,6.739837398,6739837.398
62,Caleb Martin,30,DAL,SF,58,12,856,0.526,12.6,0,0.9,0.9,0.051,-4,1.7,-2.2,0,-0.502606246,6.658536585,6658536.585
170,Gradey Dick,22,TOR,SG,66,1,1002,0.546,18.2,0.3,1.2,1.5,0.07,-3,-0.3,-3.3,-0.3,-0.504369531,6.577235772,6577235.772
154,Danny Wolf,21,BRK,PF,57,15,1187,0.521,20.6,-0.1,1,0.9,0.035,-2.2,-0.3,-2.5,-0.2,-0.505597948,6.495934959,6495934.959
149,Kentavious Caldwell-Pope,32,MEM,SG,51,14,1088,0.533,17.6,0.2,0.7,0.9,0.041,-2.3,-0.2,-2.5,-0.1,-0.51109462,6.414634146,6414634.146
98,Dennis Schröder,32,2TM,PG,61,16,1509,0.524,21.4,0.5,0.6,1,0.033,-0.9,-1.4,-2.4,-0.1,-0.525975536,6.333333333,6333333.333
19,Adem Bona,22,PHI,C,62,14,1097,0.624,11.2,1.2,1.3,2.5,0.109,-3.2,0.4,-2.9,-0.2,-0.528729152,6.25203252,6252032.52
151,Zaccharie Risacher,20,ATL,SF,58,45,1370,0.554,17.8,0.3,1.6,1.9,0.067,-2.3,-0.3,-2.6,-0.2,-0.549127207,6.170731707,6170731.707
223,Tyus Jones,29,3TM,PG,63,10,931,0.443,10.5,0.2,0.7,1,0.05,-2.9,0.5,-2.4,-0.1,-0.553859223,6.089430894,6089430.894
